iter	RMSE
0	21581.76534
1	21179.9685
2	20777.28331
3	20393.04226
4	20004.73456
5	19628.41419
6	19255.67806
7	18895.40806
8	18545.34676
9	18201.20129
10	17856.61828
11	17526.71243
12	17189.01804
13	16863.92289
14	16545.93072
15	16233.64053
16	15930.1089
17	15631.65488
18	15342.37949
19	15052.79951
20	14776.16399
21	14499.56128
22	14235.46237
23	13970.78999
24	13711.97531
25	13452.41189
26	13214.87661
27	12973.05875
28	12728.84766
29	12494.05089
30	12256.24099
31	12031.59897
32	11804.76858
33	11581.17119
34	11363.15929
35	11156.26604
36	10950.50381
37	10750.30827
38	10554.8019
39	10362.14334
40	10171.86259
41	9987.153362
42	9803.060042
43	9617.195698
44	9435.563092
45	9261.103871
46	9092.761261
47	8931.567082
48	8766.152066
49	8609.329901
50	8456.027914
51	8303.283278
52	8149.58159
53	8000.042493
54	7853.194276
55	7708.414569
56	7566.912056
57	7431.249357
58	7295.428741
59	7162.339346
60	7035.569837
61	6912.162607
62	6787.508283
63	6664.077103
64	6545.396132
65	6426.158422
66	6312.734685
67	6202.483083
68	6092.003318
69	5983.248018
70	5875.689636
71	5771.387863
72	5667.687544
73	5566.571525
74	5467.655603
75	5373.323218
76	5278.901909
77	5187.042209
78	5096.295494
79	5007.322918
80	4921.825266
81	4838.170134
82	4754.807922
83	4671.755669
84	4593.255098
85	4514.921841
86	4437.856108
87	4360.998213
88	4288.027255
89	4215.349426
90	4143.098332
91	4071.228353
92	4000.744183
93	3933.138832
94	3867.753087
95	3802.802799
96	3737.818208
97	3675.821695
98	3614.69146
99	3554.542192
100	3496.293841
101	3438.715567
102	3383.699782
103	3327.973228
104	3273.914154
105	3221.873735
106	3169.771101
107	3116.978215
108	3068.731455
109	3018.979005
110	2971.472078
111	2925.222901
112	2878.140989
113	2831.263017
114	2786.64161
115	2742.32827
116	2699.652639
117	2659.154257
118	2619.449326
119	2578.62811
120	2539.280364
121	2501.100811
122	2464.497462
123	2428.061852
124	2392.875945
125	2357.664774
126	2324.029911
127	2290.033132
128	2257.140852
129	2225.792892
130	2194.172862
131	2162.195593
132	2132.771964
133	2102.745568
134	2073.922547
135	2045.292565
136	2017.431895
137	1990.6443
138	1963.722192
139	1936.985927
140	1911.473194
141	1886.332384
142	1860.643763
143	1835.76891
144	1813.153647
145	1789.606975
146	1768.055461
147	1746.660895
148	1725.516743
149	1703.879853
150	1682.04594
151	1660.829918
152	1641.797517
153	1622.14985
154	1602.923083
155	1584.243034
156	1567.10689
157	1548.222463
158	1532.343124
159	1514.286826
160	1496.063459
161	1478.641681
162	1462.699601
163	1446.144825
164	1431.344973
165	1415.847398
166	1400.108382
167	1384.928787
168	1370.696878
169	1356.151578
170	1341.742869
171	1327.619983
172	1312.818048
173	1298.802493
174	1286.545731
175	1274.074272
176	1262.226435
177	1250.826327
178	1238.588768
179	1226.687986
180	1215.796896
181	1205.339301
182	1194.325779
183	1182.42507
184	1172.984657
185	1162.975518
186	1153.122922
187	1144.029025
188	1133.715368
189	1123.781141
190	1115.088348
191	1106.827971
192	1097.491449
193	1090.29257
194	1082.218807
195	1073.383163
196	1065.009626
197	1056.862126
198	1048.33373
199	1040.344073
200	1032.273046
201	1025.284677
202	1018.137431
203	1011.633118
204	1004.918187
205	998.350427
206	990.8611949
207	983.7636529
208	978.1677622
209	971.8167179
210	965.1429394
211	958.3469532
212	952.3855995
213	946.7092867
214	941.5978592
215	936.2278635
216	930.762813
217	925.5630342
218	919.7200885
219	915.713945
220	910.1185273
221	904.7569806
222	899.5757363
223	894.8534649
224	889.2872658
225	884.1568795
226	880.3208177
227	875.7996542
228	870.8703149
229	866.8086753
230	861.5301242
231	856.5619278
232	852.5083482
233	848.0346432
234	843.4465195
235	838.8459214
236	834.718172
237	830.2054695
238	826.296992
239	822.1147867
240	818.0276572
241	813.666735
242	810.1998662
243	805.9262954
244	802.5772019
245	798.2725548
246	794.9305653
247	791.9386654
248	788.1878893
249	784.4336683
250	780.6290378
251	777.5314318
252	774.4303358
253	771.1869386
254	767.3775133
255	764.2701451
256	761.233657
257	758.3779002
258	754.6924304
259	751.7913747
260	748.8665806
261	745.7030559
262	742.7272868
263	740.5196658
264	737.6858009
265	735.1221962
266	731.8778281
267	728.8446693
268	725.249229
269	722.5695186
270	720.2868574
271	718.3378208
272	715.8695406
273	713.4325389
274	710.3831362
275	707.9469534
276	705.5601644
277	703.4363565
278	700.9945608
279	698.2879656
280	696.7229615
281	694.3450482
282	691.5360518
283	688.7501665
284	686.1488215
285	683.4538604
286	681.1889491
287	678.5442896
288	676.1907847
289	673.8747844
290	671.2617997
291	668.9722743
292	666.8396784
293	664.1923693
294	662.3002365
295	659.7867233
296	657.8740937
297	655.8417112
298	653.8945843
299	651.2606188
300	649.0903743
301	646.7212932
302	645.3046615
303	643.5676552
304	641.5642541
305	640.0623
306	638.408695
307	636.8913091
308	635.1068588
309	632.8841092
310	631.2351795
311	629.0317371
312	627.3387294
313	626.1379126
314	624.2436597
315	622.4812217
316	621.2311541
317	619.6544838
318	617.795411
319	616.1006369
320	614.2566852
321	612.4297389
322	611.3248262
323	609.4177434
324	607.8779713
325	606.4966804
326	604.603713
327	603.1471165
328	601.3889625
329	599.6952393
330	597.7029595
331	596.3447142
332	594.5216877
333	592.411013
334	590.5874684
335	588.7376464
336	587.154827
337	585.7365197
338	584.1902285
339	582.8924407
340	581.2282837
341	579.6600143
342	578.1406852
343	576.5140917
344	575.3649812
345	573.8054455
346	572.2573464
347	571.0941157
348	569.903049
349	568.508169
350	567.4699573
351	565.9369891
352	564.6077442
353	563.4337035
354	561.7314937
355	560.4602842
356	558.7076033
357	557.4904418
358	556.1644032
359	554.6503674
360	553.4387086
361	552.104828
362	550.7688173
363	548.9655383
364	547.490115
365	546.1300948
366	545.2340414
367	543.7186006
368	542.4713707
369	541.3866452
370	540.008723
371	538.8956946
372	537.7038833
373	536.2077478
374	535.4096089
375	534.2179115
376	532.7388214
377	531.6289578
378	530.7223962
379	529.4132654
380	527.9931861
381	527.2025565
382	525.7943255
383	524.805885
384	523.5075921
385	521.9140945
386	520.653372
387	519.4962239
388	518.1976965
389	516.9087774
390	515.8873229
391	514.867201
392	513.6398345
393	512.7085923
394	511.6720847
395	510.5005049
396	509.3584354
397	508.514825
398	507.503772
399	506.5623998
400	505.6731317
401	504.7674298
402	503.6038237
403	502.300936
404	501.4134796
405	500.0482501
406	499.1646028
407	497.8913926
408	496.6975099
409	495.5659718
410	494.6003382
411	493.2948338
412	492.0131845
413	491.0007763
414	489.7117522
415	488.5525472
416	487.5170579
417	486.2030126
418	485.2255625
419	484.5500815
420	483.671406
421	482.6663445
422	481.3976293
423	480.2217411
424	479.2400791
425	478.4827904
426	477.5999182
427	476.6070908
428	475.5627941
429	474.6232465
430	473.4527923
431	472.8047087
432	471.58103
433	470.4430181
434	469.4914658
435	468.4687472
436	467.5651105
437	466.516211
438	465.6268381
439	464.7991628
440	464.0600986
441	463.1249979
442	461.9583347
443	460.8023513
444	459.8636825
445	458.7851731
446	457.8788035
447	457.0994675
448	456.1421259
449	455.3401383
450	454.6795452
451	453.5360536
452	452.8105749
453	451.560712
454	450.5812739
455	449.7253846
456	448.8484695
457	447.8588153
458	446.9437399
459	445.9035498
460	445.1781135
461	444.4251526
462	443.6766465
463	442.7676707
464	441.7147983
465	440.7913097
466	439.9290414
467	439.2494712
468	437.9566653
469	437.0216959
470	436.3879801
471	435.3235779
472	434.157821
473	433.2080659
474	432.3353188
475	431.1980915
476	429.9965411
477	429.376296
478	428.336427
479	427.7648721
480	427.2673895
481	426.6076403
482	425.6366474
483	424.6391989
484	423.6974028
485	422.6845609
486	422.3123119
487	421.5947247
488	420.843525
489	420.1137131
490	419.2440765
491	418.3254675
492	417.4414012
493	416.5584506
494	415.7621053
495	415.2099984
496	414.6186116
497	414.1566813
498	413.7234763
499	413.0300778
500	412.3122517
501	411.4642029
502	410.5789587
503	409.554073
504	408.8754603
505	407.9972262
506	407.2692158
507	406.4372531
508	405.548657
509	404.4300087
510	403.6078914
511	402.9262998
512	402.3861734
513	401.5035457
514	400.8065174
515	400.0543883
516	399.2190202
517	398.462568
518	397.6601445
519	396.9730263
520	396.2601278
521	395.6617649
522	395.1010271
523	394.3395711
524	393.5796773
525	393.0022492
526	392.5349016
527	391.8324175
528	391.0901353
529	390.7098965
530	390.2793806
531	389.483895
532	388.6159809
533	387.7904889
534	386.9897398
535	386.5977257
536	386.037551
537	385.1418677
538	384.6645797
539	384.3191134
540	383.485279
541	383.039387
542	382.1609508
543	381.3688911
544	380.7092483
545	380.0483335
546	379.5459177
547	379.0140128
548	378.7767764
549	377.9619555
550	377.2425097
551	376.6143563
552	375.9844861
553	375.255912
554	374.7028139
555	374.1565775
556	373.3023682
557	372.3860606
558	371.7108046
559	371.2436271
560	370.4933554
561	370.1263293
562	369.7560771
563	369.066362
564	368.3480173
565	367.890523
566	367.1606312
567	366.6060777
568	365.9739983
569	365.4609036
570	365.0658106
571	364.2977113
572	363.6294733
573	362.9198527
574	362.4278303
575	361.9126212
576	361.7521353
577	361.2545372
578	360.6712559
579	360.2404017
580	359.6985394
581	359.2500465
582	358.5314044
583	357.9248359
584	357.2506768
585	356.7249399
586	355.9783423
587	355.4147101
588	354.8595991
589	354.1466448
590	353.5709627
591	353.0636619
592	352.569351
593	351.9042672
594	351.3165974
595	350.797951
596	349.9995357
597	349.6690662
598	349.5049059
599	348.7676775
600	348.5026311
601	347.8676896
602	347.3750772
603	346.6231499
604	346.198501
605	345.6051325
606	345.1201545
607	344.5024652
608	344.3563422
609	343.8479945
610	343.6097774
611	343.4015817
612	342.8058891
613	342.1894036
614	341.7012164
615	341.1934278
616	340.5643745
617	340.0554512
618	339.5844047
619	339.1475909
620	338.5601194
621	338.0183618
622	337.3657563
623	336.9239292
624	336.4561322
625	335.9325377
626	335.4913517
627	334.8553043
628	334.2436826
629	333.766651
630	333.3040355
631	332.7271101
632	332.0463146
633	331.6074516
634	330.9449605
635	330.3710806
636	329.7863568
637	329.1814983
638	328.6332864
639	328.0976548
640	327.523987
641	326.9530936
642	326.3720899
643	326.1471986
644	325.6361745
645	325.0772801
646	324.5982729
647	324.0749602
648	323.8280518
649	323.2894553
650	322.8506117
651	322.2747002
652	321.7325646
653	321.2781951
654	320.8654355
655	320.7540979
656	320.2358789
657	319.6871045
658	319.1819646
659	318.6472119
660	318.2397301
661	317.6884996
662	317.1661053
663	316.9008698
664	316.4691922
665	315.9298136
666	315.4612774
667	314.9577786
668	314.4801186
669	313.9832348
670	313.7375608
671	313.3543041
672	313.0286005
673	312.7865486
674	312.4700327
675	312.0550049
676	311.5822573
677	311.3543533
678	311.1624178
679	310.5977399
680	310.2222596
681	310.0785869
682	309.6989207
683	309.2059943
684	308.6332327
685	308.179526
686	307.6728185
687	307.4879803
688	307.0610636
689	306.5549139
690	306.1290617
691	305.9994379
692	305.5680248
693	305.4295993
694	304.9063522
695	304.4513828
696	304.011467
697	303.464838
698	303.1779973
699	302.8423254
700	302.70396
701	302.1700924
702	301.6050149
703	301.2093406
704	300.7879967
705	300.3256305
706	300.1103445
707	299.9388867
708	299.6413426
709	299.1658612
710	298.7914801
711	298.3396115
712	298.1258209
713	297.851974
714	297.2836748
715	296.7699421
716	296.3111515
717	295.9663682
718	295.7193244
719	295.3786639
720	295.0163523
721	294.5885478
722	294.15433
723	293.616532
724	293.3158212
725	293.0145878
726	292.7327255
727	292.310689
728	291.8779212
729	291.4624148
730	291.193754
731	290.8119149
732	290.6641591
733	290.341467
734	289.9567228
735	289.7842812
736	289.4812319
737	288.9774438
738	288.8108096
739	288.4221179
740	288.2009683
741	287.7457203
742	287.2702043
743	286.9820222
744	286.607826
745	286.1665214
746	285.8354047
747	285.3969959
748	284.9973744
749	284.5320564
750	284.0992107
751	283.7926373
752	283.6023969
753	283.3813739
754	283.0549045
755	282.682716
756	282.26653
757	281.9346904
758	281.647418
759	281.2308575
760	280.8701459
761	280.4969684
762	280.1245576
763	279.8269243
764	279.5411732
765	279.1880831
766	278.7357095
767	278.3719683
768	278.136119
769	277.9285878
770	277.673414
771	277.2708676
772	276.9756371
773	276.61921
774	276.2924872
775	276.1779782
776	275.841444
777	275.3848033
778	274.9374775
779	274.7083013
780	274.3306831
781	273.9797854
782	273.7289935
783	273.3878048
784	272.9675269
785	272.7546179
786	272.5090944
787	272.2990887
788	271.8781633
789	271.3874954
790	271.131444
791	270.8924041
792	270.6196252
793	270.2605341
794	269.889741
795	269.4717033
796	269.0438418
797	268.7336292
798	268.3493801
799	268.0422036
800	267.7582612
801	267.4710254
802	267.0531394
803	266.6040324
804	266.2191007
805	266.0147793
806	265.7214131
807	265.4718388
808	265.0413599
809	264.615516
810	264.4514304
811	264.2239636
812	263.900583
813	263.6139776
814	263.3206212
815	263.1595979
816	262.8247887
817	262.6297071
818	262.3518257
819	261.9333511
820	261.6764865
821	261.3419263
822	261.0769099
823	260.9109837
824	260.7458176
825	260.6371634
826	260.4412514
827	260.1060486
828	259.7960325
829	259.5903106
830	259.3077575
831	259.0074052
832	258.829351
833	258.4106392
834	258.1080823
835	257.7530344
836	257.4510237
837	257.2380373
838	257.0197458
839	256.8511448
