unique_id,ds,y,btc_sma_14_50_ratio,btc_sma_21_slope,btc_rsi_14,btc_atr_14,miner_revenue_blockchain,difficulty_blockchain,PiCycle_cbbi,RHODL_cbbi,ReserveRisk_cbbi,Fear Greed,volume_sentiment,Gold_Volatility,NYFANG,EM_ETF,DXY,EURUSD,btc_trading_volume,DJI,CBOE_Volatility,RUPL_cbbi,btc_sma_5,btc_ema_5,btc_sma_50,btc_bb_low,btc_bb_width,btc_volatility_index,active_addresses_blockchain,estimated_transaction_volume_usd_blockchain,MVRV_cbbi,market_narrative_sentiment
Bitcoin,2017-01-01,998.3250122070312,1.1385970880373368,48.409853980654816,85.06101220493308,24.73260663035699,1970085.325,317688000000.0,0.5909,0.4559,0.2475,70.0,38.0,15.68000030517578,1423.189941,29.488140106201172,102.68000030517578,1.0575296878814695,147775008.0,19819.7793,13.369999885559082,0.8431,974.5447998046876,968.7639753,798.1584204101563,715.7360436886713,35.739794650916394,44.38104248046875,355325,166788994.4,0.6056,13.0
Bitcoin,2017-01-02,1021.75,1.149881733041782,50.02290271577385,86.77959992085995,25.44370531970649,2138666.021,317688000000.0,0.5924,0.457,0.25,70.0,58.0,16.229999542236328,1405.060059,29.279069900512695,102.38999938964844,1.052698016166687,222184992.0,19762.59961,14.039999961853027,0.8511,983.7105957,986.4259835,804.5528002929688,720.6325157416795,36.87347301588712,34.68798828,529709,279981138.0,0.6086,20.0
Bitcoin,2017-01-03,1043.8399658203125,1.1616679919595538,52.90847051711319,88.16255723905664,25.23201068749531,2245225.092,317688000000.0,0.5941,0.4655,0.2602,70.0,32.0,16.260000228881836,1416.5699462890625,29.63031578063965,103.20999908447266,1.0460032224655151,185168000.0,19881.75977,12.850000381469728,0.8555,997.7791870117188,1005.5639776384176,811.3291797,726.6337683760532,37.92141945355439,22.47998047,515024,341754284.9,0.6195,16.2
Bitcoin,2017-01-04,1154.72998,1.1770232566718557,61.70870826357896,92.43864045574932,31.685444075888505,2332472.035,317688000000.0,0.5959,0.4725,0.267,70.0,70.0,15.15999984741211,1441.1500244140625,29.856124877929688,102.6999969482422,1.0419923067092896,344945984.0,19942.16016,11.850000381469728,0.8584,1036.477587890625,1055.285978581862,820.1913989257813,720.5517584014176,42.58422029591556,115.0200195,545609,433678086.9,0.6448,31.2
Bitcoin,2017-01-05,1013.3800048828124,1.182225401,63.90866234188991,61.795508704305234,49.47098259892772,2009800.815,317688000000.0,0.5984,0.4949,0.2722,70.0,77.0,14.979999542236328,1460.989990234375,30.182281494140625,101.5199966430664,1.0500892400741575,510199008.0,19899.28906,11.670000076293944,0.8821,1046.4049926757812,1041.317320682179,825.5750391,737.2134511230176,40.92915896427864,280.6829833984375,495910,565779976.6,0.6401,31.0
Bitcoin,2017-01-06,902.2009887695312,1.1759209394986132,58.60866292317701,48.24772605429827,57.57063304666057,1998357.991,317688000000.0,0.6005,0.5141,0.3065,68.0,55.0,14.550000190734863,1472.4300537109375,30.056835174560547,102.22000122070312,1.0605915784835815,351876000.0,19963.80078,11.31999969482422,0.842,1027.1801879882812,994.9452100446296,828.7995190429688,752.8136411084255,38.53311353572343,162.8660888671875,562750,451663626.1060731,0.6327,27.4
Bitcoin,2017-01-07,908.5850219726562,1.172320876628975,52.708330426897305,48.93995459215875,59.531944378986154,1591509.2920755602,317688000000.0,0.6017,0.5096,0.2596,66.0,48.0,14.493333498636881,1477.5900472005208,30.048472086588543,102.12333424886067,1.058122992515564,279550016.0,19938.327473333335,11.39999993654948,0.8045,1004.5471923828125,966.1584806873052,831.9395190429688,770.3793296287588,35.804939514439226,85.02899169921875,503341,295587982.4,0.6357,26.2
Bitcoin,2017-01-08,911.1989746,1.1691248785979826,45.917140415736526,49.23934271001554,59.24216089376839,1990960.486,317688000000.0,0.6025,0.5081,0.2171,64.0,53.0,14.4366668065389,1482.7500406901042,30.040108998616535,102.02666727701823,1.0556544065475464,158715008.0,19912.854166666668,11.48000017827474,0.8086,978.0189941,947.8386453279952,835.1311779785157,789.4234072603131,32.80155325798385,55.47497559,455739,210928000.86692104,0.6484,17.4
Bitcoin,2017-01-09,902.8280029296876,1.1639270483312305,33.38690476,48.26337842674465,57.43050420743896,1630568.1795438298,317688000000.0,0.6035,0.5061,0.2213,62.0,36.0,14.380000114440918,1487.9100341796875,30.03174591064453,101.93000030517578,1.0531858205795288,141876992.0,19887.38086,11.56000042,0.8117,927.6385986328124,932.8350978618928,838.5672180175782,807.5780566771717,29.87482048840896,33.87896728515625,475572,272509052.6,0.6561,12.4
Bitcoin,2017-01-10,907.6790161132812,1.157105135308152,27.268383207775287,48.89553087496704,54.31496735556832,1939796.81,319489000000.0,0.6045,0.503,0.2247,62.0,30.0,14.31999969482422,1488.6300048828125,30.207365036010746,102.01000213623048,1.0588620901107788,115808000.0,19855.5293,11.489999771118164,0.8078,906.4984008789064,924.4497372790222,841.9358386230468,819.8132640092249,27.962355458306103,13.81298828,541168,287618545.5,0.6616,16.6
