unique_id,ds,cutoff,y,AutoARIMA,AutoARIMA-lo-95,AutoARIMA-hi-95,AutoTheta,AutoTheta-lo-95,AutoTheta-hi-95
Bitcoin,2024-01-17,2024-01-16,42742.65234,43154.94531,41039.32362925,45270.566990750005,43187.009705164404,41045.403788699194,45328.615621629615
Bitcoin,2024-01-18,2024-01-16,41262.05859,43154.94531,41551.387937,44758.502683000006,43033.26022884988,41327.404620860354,44739.11583683941
Bitcoin,2024-01-19,2024-01-16,41618.40625,43154.94531,41194.279976750004,45115.61064325,43023.4819918719,40968.163799441776,45078.80018430202
Bitcoin,2024-01-20,2024-01-16,41665.58594,43154.94531,41139.10566025,45170.78495975,43006.65227495567,40925.97919713388,45087.32535277746
Bitcoin,2024-01-21,2024-01-16,41545.78516,43154.94531,40952.73671375,45357.15390625,43070.93255409149,40759.365983738055,45382.49912444491
Bitcoin,2024-01-22,2024-01-16,39507.36719,43154.94531,38992.896724750004,47316.99389525,43086.62266630414,38785.5947047033,47387.65062790498
Bitcoin,2024-01-23,2024-01-16,39845.55078,43154.94531,37650.071439750005,48659.81918025,43123.08557814391,37509.58200678058,48736.589149507236
Bitcoin,2024-01-24,2024-01-23,40077.07422,39845.55078,37729.929099249995,41961.17246075,39873.90900450173,37732.72147608391,42015.096532919546
Bitcoin,2024-01-25,2024-01-23,39933.80859,39845.55078,38239.569236999996,41451.532323,39743.84500396853,38052.5333716664,41435.15663627065
Bitcoin,2024-01-26,2024-01-23,41816.87109,39845.55078,37904.57968625,41786.521873749996,39707.47555910446,37656.96712214274,41757.98399606617
Bitcoin,2024-01-27,2024-01-23,42120.05469,39845.55078,37829.71113025,41861.39042975,39687.53406359837,37594.96969848819,41780.098428708545
Bitcoin,2024-01-28,2024-01-23,42035.59375,39845.55078,37643.34218374999,42047.75937625,39716.95498545766,37408.57660465462,42025.3333662607
Bitcoin,2024-01-29,2024-01-23,43288.24609,39845.55078,35683.50219475,44007.59936525,39731.34721855935,35433.72731267672,44028.96712444198
Bitcoin,2024-01-30,2024-01-23,42952.60938,39845.55078,34340.67690975,45350.424650249995,39758.72085288608,34142.89003064729,45374.55167512486
Bitcoin,2024-01-31,2024-01-30,42582.60547,42952.60938,40836.98769925,45068.231060750004,43027.88487022174,40869.971814308374,45185.7979261351
Bitcoin,2024-02-01,2024-01-30,43075.77344,42952.60938,41346.627837,44558.590923,42862.67504181211,41165.20526154558,44560.14482207863
Bitcoin,2024-02-02,2024-01-30,43185.85938,42952.60938,40948.408015249996,44956.81074475,42827.7582672398,40679.8301673848,44975.6863670948
Bitcoin,2024-02-03,2024-01-30,42992.25,42952.60938,40652.534376250005,45252.68438375,42810.19217552302,40350.86609045386,45269.51826059218
Bitcoin,2024-02-04,2024-01-30,42583.58203,42952.60938,40708.73096075,45196.487799250004,42863.01024371426,40502.691881358034,45223.32860607049
Bitcoin,2024-02-05,2024-01-30,42658.66797,42952.60938,38790.56079475,47114.65796525,42867.32053987555,38575.779623391376,47158.86145635973
Bitcoin,2024-02-06,2024-01-30,43084.67188,42952.60938,37447.735509750004,48457.48325025,42888.65099164875,37269.81959975408,48507.48238354341
Bitcoin,2024-02-07,2024-02-06,44318.22266,43084.67188,40969.05019925,45200.293560750004,43130.741477904485,40966.64634688419,45294.83660892478
Bitcoin,2024-02-08,2024-02-06,45301.56641,43084.67188,41478.690337,44690.653423,42978.35831466122,41293.481903093096,44663.23472622935
Bitcoin,2024-02-09,2024-02-06,47147.19922,43084.67188,41080.470515249996,45088.87324475,42948.942462090185,40815.36304078187,45082.5218833985
Bitcoin,2024-02-10,2024-02-06,47771.27734,43084.67188,40784.596876250005,45384.74688375,42932.96960715321,40489.9635431564,45375.975671150016
Bitcoin,2024-02-11,2024-02-06,48293.91797,43084.67188,40840.79346075,45328.550299250004,42994.303828633005,40658.4609754065,45330.14668185951
Bitcoin,2024-02-12,2024-02-06,49958.22266,43084.67188,38922.62329475,47246.72046525,42966.59537071683,38667.84746355159,47265.34327788207
Bitcoin,2024-02-13,2024-02-06,49742.44141,43084.67188,37579.798009750004,48589.54575025,42991.86673339887,37371.015799952016,48612.717666845725
Bitcoin,2024-02-14,2024-02-13,51826.69531,49742.44141,47626.81972925,51858.06309075,49825.19601983266,47663.4132148933,51986.97882477203
Bitcoin,2024-02-15,2024-02-13,51938.55469,49742.44141,47841.454494749996,51643.42832525,49641.55499865979,47855.464598559985,51427.645398759596
Bitcoin,2024-02-16,2024-02-13,52160.20313,49742.44141,46436.479789,53048.403031,49619.62928954996,46407.43022069203,52831.82835840788
Bitcoin,2024-02-17,2024-02-13,51662.99609,49742.44141,46410.362305,53074.520515,49606.26804096232,46384.25369328617,52828.282388638465
Bitcoin,2024-02-18,2024-02-13,52122.54688,49742.44141,45377.335841249995,54107.546978750004,49669.51384311224,45340.16197772347,53998.86570850101
Bitcoin,2024-02-19,2024-02-13,51779.14453,49742.44141,45016.87846875,54468.00435125,49646.36939362066,44785.00986745535,54507.72891978597
Bitcoin,2024-02-20,2024-02-13,52284.875,49742.44141,43482.67373425,56002.20908575,49676.15602404133,43290.48051297668,56061.83153510598
Bitcoin,2024-02-21,2024-02-20,51839.17969,52284.875,50169.25331925,54400.49668075,52336.41439138616,50196.33956817754,54476.48921459479
Bitcoin,2024-02-22,2024-02-20,51304.97266,52284.875,50088.24218875,54481.50781125,52152.74127654055,49847.55367855616,54457.92887452494
Bitcoin,2024-02-23,2024-02-20,50731.94922,52284.875,48978.913379,55590.836621,52109.81811405336,48919.0051403545,55300.63108775222
Bitcoin,2024-02-24,2024-02-20,51571.10156,52284.875,48952.795895,55616.954105,52089.66904019311,48890.45259313817,55288.88548724805
Bitcoin,2024-02-25,2024-02-20,51733.23828,52284.875,47919.769431249995,56649.980568750005,52145.74884063113,47848.60134960203,56442.89633166023
Bitcoin,2024-02-26,2024-02-20,54522.40234,52284.875,47559.31205875,57010.43794125,52144.21400735012,47267.23485756901,57021.19315713123
Bitcoin,2024-02-27,2024-02-20,57085.37109,52284.875,46025.10732425,58544.64267575,52196.3977765913,45808.29803984327,58584.49751333933
Bitcoin,2024-02-28,2024-02-27,62504.78906,57085.37109,54969.74940925,59200.99277075,57082.214171686996,54931.092155816754,59233.33618755724
