horizon,model_name,mae,rmse,rmse_mae_ratio,mase,da
7,TCN,4141.1161,4564.1953,1.1022,2.4838,57.1429
7,ETS,4571.8478,5015.8435,1.0971,2.7422,57.1429
7,Naive,1437.6027,1706.9093,1.1873,0.8623,0.0000
14,ETS,11356.2957,11702.2742,1.0305,6.8115,35.7143
14,TCN,11344.7249,11614.8863,1.0238,6.8046,35.7143
14,Naive,1859.8131,2464.5913,1.3252,1.1155,0.0000
30,ETS,3639.8304,4445.5206,1.2214,2.1832,46.6667
30,TCN,7683.1227,10384.1551,1.3516,4.6083,53.3333
30,Naive,1787.6966,2326.3739,1.3013,1.0723,0.0000
60,ETS,20289.2526,21700.7551,1.0696,12.1695,43.3333
60,iTransformer,20372.0983,21820.2826,1.0711,12.2192,43.3333
60,Naive,1875.2016,2563.5116,1.3671,1.1247,0.0000
90,TFT,21527.0261,25645.2096,1.1913,12.9119,46.6667
90,TCN,24988.0043,29567.4970,1.1833,14.9878,47.7778
90,Naive,1581.3800,2222.6884,1.4055,0.9485,0.0000
