unique_id,ds,cutoff,y,TFT,TSMixerx,iTransformer,TCN,SARIMAX,ETS,Theta
Bitcoin,2023-10-25,2023-10-24,34502.82031000002,34040.77702552912,34023.12429084165,34318.37921089582,33952.61842789352,34964.12363094524,33949.43340707971,34484.23946908515
Bitcoin,2023-10-26,2023-10-24,34156.64844,34177.81607784532,34215.01291165104,34931.58946555073,34040.55070841774,34809.41225803078,33997.407169966755,34969.45543583408
Bitcoin,2023-10-27,2023-10-24,33909.80078000002,34314.1317236805,34430.57996023831,35365.53231973256,34110.82217150052,34183.80543051764,34045.44872432172,35553.78067383268
Bitcoin,2023-10-28,2023-10-24,34089.57421999998,34450.285714436126,34448.31756384254,35850.43289636727,34170.81237152357,34406.4678692032,34093.558165940354,36189.31935087441
Bitcoin,2023-10-29,2023-10-24,34538.480470000024,34586.54073961648,34480.58391772182,36321.60087399374,34218.435957960624,35062.26169654953,34141.73559075379,36755.38074072942
Bitcoin,2023-10-30,2023-10-24,34502.36327999998,34723.00995777724,34629.96937673907,35828.89639839349,34303.63222626337,35130.53389921427,34189.98109482873,37459.02959802178
Bitcoin,2023-10-31,2023-10-24,34667.78125000003,34859.74186544229,34721.87028946638,36222.76091697651,34399.416902277,35335.629883106594,34238.2947743676,38101.28900946824
Bitcoin,2023-11-01,2023-10-24,35437.25391000004,34996.76475225052,34878.61913735738,36771.309139809215,34485.837707807375,36322.17636291447,34286.676725708785,38756.18821259057
Bitcoin,2023-11-02,2023-10-24,34938.242189999975,35134.086700955944,34866.28485478729,36492.49049996886,34555.009916349176,36460.33970444936,34335.12704532681,39301.51331242158
Bitcoin,2023-11-03,2023-10-24,34732.324219999995,35271.70367018155,34947.953000978734,36920.092433655125,34670.22553292538,36410.099269005856,34383.64582983252,39958.22545831487
Bitcoin,2023-11-04,2023-10-24,35082.19531000004,35409.615659927345,35025.43023923271,36979.89268895969,34740.78797515136,36453.65221220586,34432.23317597328,40672.495425204856
Bitcoin,2023-11-05,2023-10-24,35049.355469999995,35547.81054606236,35264.699963859806,37023.94773951556,34789.99173999107,36591.64918845084,34480.88918063317,41308.68117564802
