unique_id,ds,y,AutoXGBoost,AutoXGBoost-lo-95,AutoXGBoost-hi-95,AutoCatBoost,AutoCatBoost-lo-95,AutoCatBoost-hi-95,AutoLightGBM,AutoLightGBM-lo-95,AutoLightGBM-hi-95
Bitcoin,2017-01-23,921.0120239257812,942.5549,258.72873,1626.381,943.629922407276,226.24923545049342,1661.0106093640586,931.2809771085393,-966.8075072925004,2829.369461509579
Bitcoin,2017-01-24,892.6870117,939.5126,255.68643,1623.3387,974.8794804525761,257.4987934957935,1692.2601674093587,925.5047579720024,-972.5837264290374,2823.593242373042
Bitcoin,2017-01-25,901.5419922,935.8681,252.04196,1619.6942,873.4968810847441,156.11619412796153,1590.8775680415267,900.8966467874717,-997.191837613568,2798.9851311885113
Bitcoin,2017-01-26,917.5859985351562,946.0413,262.21518,1629.8674,912.6730500389688,195.29236308218617,1630.0537369957515,896.7080231829412,-1001.3804612180985,2794.796507583981
Bitcoin,2017-01-27,919.75,951.45,267.62387,1635.2761,920.1758525131461,202.7951655563635,1637.5565394699288,910.1192676890417,-987.969216711998,2808.2077520900816
Bitcoin,2017-01-28,921.5900268554688,939.52496,255.69882,1623.3511,940.0988259966362,222.71813903985355,1657.4795129534186,921.249568194374,-976.8389162066658,2819.3380525954135
Bitcoin,2017-01-29,919.4959716796876,932.66693,248.84079,1616.493,925.8273067474431,208.44661979066052,1643.2079937042258,918.9520645199605,-979.1364198810793,2817.040548921
Bitcoin,2017-01-30,920.3820190429688,926.32056,242.49442,1610.1467,916.7322633722066,199.351576415424,1634.1129503289892,922.3193622599201,-975.7691221411196,2820.40784666096
Bitcoin,2017-01-31,970.4030151367188,996.759,312.93283,1680.5851,999.5716578651774,282.1909709083948,1716.95234482196,975.1490182234506,-922.9394661775891,2873.2375026244904
Bitcoin,2017-02-01,989.0230102539062,1004.724,320.89786,1688.5502,1032.7545223014538,315.3738353446712,1750.1352092582365,996.1703984755827,-901.918085925457,2894.2588828766225
Bitcoin,2017-02-02,1011.7999877929688,1020.34454,336.5184,1704.1707,1079.6223775529752,362.2416905961926,1797.0030645097577,1012.5145134667417,-885.573970934298,2910.6029978677816
Bitcoin,2017-02-03,1029.9100341796875,1051.5144,367.68826,1735.3406,1069.0778961382387,351.69720918145606,1786.4585830950214,1027.7502068281851,-870.3382775728546,2925.838691229225
Bitcoin,2017-02-04,1042.9000244140625,1031.9891,348.163,1715.8153,1084.023836985069,366.6431500282864,1801.4045239418515,1042.8627342573295,-855.2257501437102,2940.9512186583693
Bitcoin,2017-02-05,1027.3399658203125,1054.567,370.74088,1738.3932,1079.5126773915267,362.1319904347441,1796.8933643483092,1023.0871193385428,-875.0013650624969,2921.1756037395826
Bitcoin,2017-02-06,1038.1500244140625,1074.1924,390.36624,1758.0186,1095.4829888499737,378.1023018931911,1812.8636758067564,1041.541110209347,-856.5473741916928,2939.6295946103864
Bitcoin,2017-02-07,1061.3499755859375,1060.2148,376.3887,1744.041,1121.1922988900453,403.8116119332627,1838.572985846828,1064.4899755757244,-833.5985088253153,2962.578459976764
Bitcoin,2017-02-08,1063.0699462890625,1097.1064,413.2803,1780.9326,1120.8564614543359,403.4757744975533,1838.2371484111186,1067.423118694729,-830.6653657063107,2965.511603095769
Bitcoin,2017-02-09,994.3829956054688,1060.8058,376.97964,1744.632,1033.4998130733493,316.1191261165667,1750.8805000301318,1015.0857443698924,-883.0027400311474,2913.174228770932
Bitcoin,2017-02-10,988.6740112304688,1000.1574,316.33127,1683.9835,977.8387617332387,260.4580747764561,1695.2194486900212,977.5799186118364,-920.5085657892033,2875.6684030128763
Bitcoin,2017-02-11,1004.4500122070312,1004.22406,320.39792,1688.0502,984.7489267516321,267.3682397948495,1702.1296137084146,999.6827450410219,-898.4057393600178,2897.7712294420617
Bitcoin,2017-02-12,999.1810302734376,987.3871,303.56094,1671.2133,959.0557428648658,241.6750559080832,1676.4364298216483,999.4233797761858,-898.6651046248539,2897.5118641772256
Bitcoin,2017-02-13,990.6420288085938,985.02234,301.1962,1668.8485,964.8324652682865,247.45177831150386,1682.213152225069,969.6388148558973,-928.4496695451425,2867.727299256937
Bitcoin,2017-02-14,1004.5499877929688,1014.39496,330.56882,1698.2211,1018.1788440624631,300.7981571056805,1735.5595310192457,1001.3534660819278,-896.735018319112,2899.4419504829675
Bitcoin,2017-02-15,1007.47998,1010.1513,326.32516,1693.9774,1006.4605742221044,289.07988726532176,1723.841261178887,1008.6151707339918,-889.4733136670479,2906.7036551350316
Bitcoin,2017-02-16,1027.439941,1054.9094,371.08328,1738.7356,1002.1108809730443,284.73019401626175,1719.491567929827,998.377396748504,-899.7110876525358,2896.4658811495437
Bitcoin,2017-02-17,1046.209961,1046.6252,362.7991,1730.4514,1062.3011043533897,344.92041739660715,1779.6817913101722,1043.749063206545,-854.3394211944947,2941.837547607585
Bitcoin,2017-02-18,1054.4200439453125,1091.2914,407.46524,1775.1176,1075.2704089117597,357.88972195497706,1792.6510958685421,1057.3073383108742,-840.7811460901655,2955.3958227119138
Bitcoin,2017-02-19,1047.8699951171875,1078.2225,394.3964,1762.0487,1059.1131292398613,341.73244228307874,1776.4938161966438,1044.3079624170734,-853.7805219839663,2942.396446818113
Bitcoin,2017-02-20,1079.97998,1092.2485,408.4224,1776.0747,1115.4840902497058,398.1034032929232,1832.8647772064883,1080.408743613238,-817.6797407878018,2978.4972280142774
Bitcoin,2017-02-21,1115.300048828125,1135.5217,451.6956,1819.3479,1147.7930940789827,430.4124071222001,1865.1737810357654,1127.5276538588887,-770.560830542151,3025.6161382599284
Bitcoin,2017-02-22,1117.439941,1125.2086,441.38248,1809.0348,1158.564978307302,441.1842913505194,1875.9456652640847,1125.3329045381754,-772.7555798628644,3023.421388939215
Bitcoin,2017-02-23,1166.719970703125,1190.4069,506.58072,1874.233,1140.7932965207663,423.41260956398366,1858.173983477549,1159.3408792933437,-738.747605107696,3057.4293636943835
Bitcoin,2017-02-24,1173.6800537109375,1223.473,539.64685,1907.2992,1208.7859184808665,491.4052315240839,1926.1666054376492,1192.4262594405648,-705.662224960475,3090.5147438416043
Bitcoin,2017-02-25,1143.8399658203125,1188.5427,504.71658,1872.3689,1189.8904343113377,472.5097473545551,1907.2711212681202,1147.1812134812415,-750.9072709197983,3045.2696978822814
Bitcoin,2017-02-26,1165.199951171875,1187.2563,503.4302,1871.0825,1163.7478941328511,446.3672071760685,1881.1285810896338,1151.212318851901,-746.8761655491387,3049.3008032529406
Bitcoin,2017-02-27,1179.969970703125,1212.8209,528.99475,1896.6471,1194.5417052248324,477.1610182680498,1911.9223921816151,1181.6208368026234,-716.4676475984163,3079.7093212036634
Bitcoin,2017-02-28,1179.969970703125,1206.8684,523.04224,1890.6946,1226.060646342382,508.6799593855993,1943.4413332991644,1192.7660405877662,-705.3224438132736,3090.8545249888057
Bitcoin,2017-03-01,1222.5,1210.6012,526.775,1894.4274,1208.680236636249,491.2995496794664,1926.0609235930315,1215.8502981014121,-682.2381862996276,3113.938782502452
Bitcoin,2017-03-02,1251.010009765625,1273.2982,589.47205,1957.1244,1284.1691975703602,566.7885106135776,2001.5498845271427,1243.5272997965878,-654.5611846044519,3141.6157841976274
Bitcoin,2017-03-03,1274.989990234375,1208.8159,524.98975,1892.6421,1274.3122670211792,556.9315800643966,1991.6929539779617,1275.275148426271,-622.8133359747687,3173.3636328273105
Bitcoin,2017-03-04,1255.1500244140625,1256.2917,572.4656,1940.1179,1248.181615655834,530.8009286990515,1965.5623026126168,1260.0992153982386,-637.9892690028012,3158.1876997992786
Bitcoin,2017-03-05,1267.1199951171875,1256.0427,572.21655,1939.8689,1253.0171293995077,535.6364424427251,1970.3978163562901,1246.5204099282482,-651.5680744727915,3144.608894329288
Bitcoin,2017-03-06,1272.8299560546875,1261.6621,577.83594,1945.4883,1271.2968872754955,553.9162003187129,1988.677574232278,1284.1750944972857,-613.913389903754,3182.2635788983252
Bitcoin,2017-03-07,1223.540039,1252.6187,568.7925,1936.4448,1251.3171289896193,533.9364420328367,1968.697815946402,1222.9369413649576,-675.1515430360821,3121.025425765997
Bitcoin,2017-03-08,1150.0,1143.7225,459.8964,1827.5487,1161.5694607096432,444.1887737528606,1878.950147666426,1162.6483473758135,-735.4401370252262,3060.7368317768533
Bitcoin,2017-03-09,1188.489990234375,1184.2281,500.402,1868.0543,1153.8357469893767,436.45506003259413,1871.2164339461592,1203.7764715892445,-694.3120128117953,3101.864955990284
Bitcoin,2017-03-10,1116.719970703125,1034.8765,351.05032,1718.7026,1061.9494240233978,344.5687370666152,1779.3301109801805,1117.1560236307776,-780.9324607702622,3015.2445080318175
Bitcoin,2017-03-11,1175.8299560546875,1226.6284,542.80225,1910.4546,1073.9618454700478,356.5811585132652,1791.3425324268305,1161.1249010819413,-736.9635833190985,3059.213385482981
Bitcoin,2017-03-12,1221.3800048828125,1231.5398,547.7136,1915.366,1155.5161350689475,438.1354481121649,1872.8968220257302,1169.6007297782355,-728.4877546228042,3067.689214179275
Bitcoin,2017-03-13,1231.9200439453125,1252.0145,568.18835,1935.8407,1210.7703459024358,493.3896589456532,1928.1510328592185,1232.310276560934,-665.7782078401058,3130.3987609619735
Bitcoin,2017-03-14,1240.0,1253.6976,569.87146,1937.5238,1211.435716454318,494.05502949753543,1928.8164034111005,1231.1771135268978,-666.911370874142,3129.2655979279375
Bitcoin,2017-03-15,1249.6099853515625,1258.59,574.7638,1942.4161,1222.5435784093297,505.1628914525471,1939.9242653661122,1251.025555565891,-647.0629288351488,3149.1140399669307
Bitcoin,2017-03-16,1187.810059,1207.8004,523.97424,1891.6266,1236.719277503628,519.3385905468455,1954.0999644604108,1201.969616100483,-696.1188683005566,3100.058100501523
Bitcoin,2017-03-17,1100.22998,1114.0529,430.2267,1797.879,1071.7130739733782,354.3323870165956,1789.093760930161,1099.869932202725,-798.2185521983147,2997.958416603765
Bitcoin,2017-03-18,973.8179931640624,987.4629,303.63675,1671.2891,840.3081910209735,122.92750406419088,1557.688877977756,959.275574239279,-938.8129101617608,2857.364058640319
Bitcoin,2017-03-19,1036.739990234375,979.1379,295.31174,1662.964,911.8691521667542,194.48846520997165,1629.2498391235367,1018.3348069055801,-879.7536774954597,2916.42329130662
Bitcoin,2017-03-20,1054.22998,1045.6759,361.84976,1729.5021,937.3127496048206,219.93206264803803,1654.6934365616032,1057.8613917180558,-840.227092682984,2955.9498761190953
Bitcoin,2017-03-21,1120.540039,1075.6255,391.79935,1759.4517,1008.7540093603412,291.37332240355863,1726.1346963171238,1095.815504977346,-802.2729794236936,2993.9039893783856
