unique_id,ds,cutoff,AutoTFT,AutoiTransformer,AutoNBEATSx,AutoTSMixerx,y
Bitcoin,2023-10-25,2023-10-24,30886.262,32111.066,33609.945,31917.57,34502.82031
Bitcoin,2023-10-26,2023-10-24,30802.04,32470.207,33563.312,31899.887,34156.64844
Bitcoin,2023-10-27,2023-10-24,30693.594,32851.508,33478.082,32188.61,33909.80078
Bitcoin,2023-10-28,2023-10-24,30567.215,33728.3,33341.082,32568.734,34089.57422
Bitcoin,2023-10-29,2023-10-24,30467.254,33905.094,33118.17,33210.74,34538.48047
Bitcoin,2023-10-30,2023-10-24,30402.723,34263.133,32905.11,32490.984,34502.36328
Bitcoin,2023-10-31,2023-10-24,30365.746,34705.95,32826.82,32954.043,34667.78125
Bitcoin,2023-11-01,2023-10-24,30347.52,34736.543,32766.164,32544.328,35437.25391
Bitcoin,2023-11-02,2023-10-24,30340.809,34919.684,32629.844,32658.523,34938.24219
Bitcoin,2023-11-03,2023-10-24,30341.293,35422.965,32757.277,32927.77,34732.32422
Bitcoin,2023-11-04,2023-10-24,30345.742,35472.69,32780.344,32764.117,35082.19531
Bitcoin,2023-11-05,2023-10-24,30350.082,35681.28,32929.996,33067.504,35049.35547
Bitcoin,2023-11-06,2023-10-24,30351.535,35603.785,33148.203,33251.04,35037.37109
Bitcoin,2023-11-07,2023-10-24,30346.004,35909.297,33123.64,32813.508,35443.5625
Bitcoin,2023-11-08,2023-11-07,37412.195,35771.51,35407.254,36826.83,35655.27734
Bitcoin,2023-11-09,2023-11-07,37697.656,35887.043,35211.25,36643.086,36693.125
Bitcoin,2023-11-10,2023-11-07,38040.133,35758.016,35053.78,37468.91,37313.96875
Bitcoin,2023-11-11,2023-11-07,38357.867,35702.688,34964.977,37676.176,37138.05078
Bitcoin,2023-11-12,2023-11-07,38637.125,35936.156,34892.496,37982.234,37054.51953
Bitcoin,2023-11-13,2023-11-07,38810.004,35661.184,34914.67,37745.055,36502.35547
Bitcoin,2023-11-14,2023-11-07,38860.996,35819.08,34933.523,38230.395,35537.64063
Bitcoin,2023-11-15,2023-11-07,38855.97,36128.766,34578.28,37740.664,37880.58203
Bitcoin,2023-11-16,2023-11-07,38835.15,36110.094,34552.867,37483.61,36154.76953
Bitcoin,2023-11-17,2023-11-07,38810.363,35923.164,34727.566,37239.2,36596.68359
Bitcoin,2023-11-18,2023-11-07,38784.656,36226.42,34837.54,36291.188,36585.70313
Bitcoin,2023-11-19,2023-11-07,38759.125,35980.36,34692.992,37370.227,37386.54688
Bitcoin,2023-11-20,2023-11-07,38734.188,35918.0,34621.656,37258.6,37476.95703
Bitcoin,2023-11-21,2023-11-07,38709.754,35799.098,34640.164,37046.195,35813.8125
Bitcoin,2023-11-22,2023-11-21,34164.92,36375.832,34723.453,31517.453,37432.33984
Bitcoin,2023-11-23,2023-11-21,34402.43,36867.79,33600.996,30887.625,37289.62109
Bitcoin,2023-11-24,2023-11-21,34256.125,36745.02,32920.094,30540.488,37720.28125
Bitcoin,2023-11-25,2023-11-21,33990.695,36595.37,32988.92,29892.43,37796.79297
Bitcoin,2023-11-26,2023-11-21,33697.594,36909.58,33111.23,29768.676,37479.12109
Bitcoin,2023-11-27,2023-11-21,33446.06,36817.53,33053.297,30159.453,37254.16797
Bitcoin,2023-11-28,2023-11-21,33160.36,36780.203,33065.32,28743.29,37831.08594
Bitcoin,2023-11-29,2023-11-21,32695.273,36710.324,32715.168,30192.215,37858.49219
Bitcoin,2023-11-30,2023-11-21,32140.941,36449.51,32507.887,29171.219,37712.74609
Bitcoin,2023-12-01,2023-11-21,31703.52,36540.26,32304.25,29793.129,38688.75
Bitcoin,2023-12-02,2023-11-21,31415.758,36448.258,32104.035,29326.309,39476.33203
Bitcoin,2023-12-03,2023-11-21,31221.316,36231.07,31648.836,27537.867,39978.39063
Bitcoin,2023-12-04,2023-11-21,31069.531,36002.746,31574.898,28574.969,41980.09766
Bitcoin,2023-12-05,2023-11-21,30935.254,36263.98,31090.637,29096.043,44080.64844
Bitcoin,2023-12-06,2023-12-05,42225.15,43665.297,44887.89,38045.49,43746.44531
Bitcoin,2023-12-07,2023-12-05,42620.125,44171.27,44796.984,37228.71,43292.66406
Bitcoin,2023-12-08,2023-12-05,42808.52,44031.85,45075.207,37862.625,44166.60156
Bitcoin,2023-12-09,2023-12-05,42977.336,43970.61,45005.133,37411.723,43725.98438
Bitcoin,2023-12-10,2023-12-05,43179.04,43713.953,44679.02,37158.355,43779.69922
Bitcoin,2023-12-11,2023-12-05,43416.773,42993.473,44364.25,37219.766,41243.83203
Bitcoin,2023-12-12,2023-12-05,43691.71,43897.613,43757.67,36785.11,41450.22266
Bitcoin,2023-12-13,2023-12-05,43996.37,43937.637,43193.75,36784.84,42890.74219
Bitcoin,2023-12-14,2023-12-05,44325.01,43873.184,42456.027,36146.387,43023.97266
Bitcoin,2023-12-15,2023-12-05,44669.168,43778.617,42150.12,36119.54,41929.75781
Bitcoin,2023-12-16,2023-12-05,45023.6,43726.71,42018.945,36531.023,42240.11719
Bitcoin,2023-12-17,2023-12-05,45379.824,44029.586,42366.473,36128.027,41364.66406
Bitcoin,2023-12-18,2023-12-05,45732.656,44182.848,42788.383,35704.094,42623.53906
Bitcoin,2023-12-19,2023-12-05,46082.773,44658.47,43151.203,35750.02,42270.52734
Bitcoin,2023-12-20,2023-12-19,39075.938,41935.83,42801.79,43223.99,43652.25
Bitcoin,2023-12-21,2023-12-19,38838.742,41854.086,42481.887,41246.844,43869.15234
Bitcoin,2023-12-22,2023-12-19,38795.285,42254.137,42376.71,40742.086,43997.90234
Bitcoin,2023-12-23,2023-12-19,38870.465,41950.68,42388.45,39601.492,43739.54297
Bitcoin,2023-12-24,2023-12-19,38975.785,42169.72,41800.1,42138.47,43016.11719
Bitcoin,2023-12-25,2023-12-19,39061.188,41942.5,41667.406,40522.156,43613.14063
Bitcoin,2023-12-26,2023-12-19,39110.934,41737.65,41622.04,42174.07,42520.40234
Bitcoin,2023-12-27,2023-12-19,39130.01,42266.742,41609.535,42863.535,43442.85547
Bitcoin,2023-12-28,2023-12-19,39123.367,42083.746,41994.188,39967.047,42627.85547
Bitcoin,2023-12-29,2023-12-19,39096.68,42019.016,41874.086,41619.348,42099.40234
Bitcoin,2023-12-30,2023-12-19,39060.86,42277.31,41429.777,41161.203,42156.90234
Bitcoin,2023-12-31,2023-12-19,39017.277,41871.594,42220.1,41180.418,42265.1875
Bitcoin,2024-01-01,2023-12-19,38971.594,42213.953,41430.94,42465.742,44167.33203
Bitcoin,2024-01-02,2023-12-19,38924.773,42144.414,42057.453,41542.67,44957.96875
Bitcoin,2024-01-03,2024-01-02,44269.504,45509.207,45647.402,42815.75,42848.17578
Bitcoin,2024-01-04,2024-01-02,44071.39,45691.4,44452.59,44089.945,44179.92188
Bitcoin,2024-01-05,2024-01-02,43579.523,45575.914,44559.438,44011.43,44162.69141
Bitcoin,2024-01-06,2024-01-02,42911.297,45435.79,44935.516,43525.195,43989.19531
Bitcoin,2024-01-07,2024-01-02,42229.695,45791.375,44105.54,43837.0,43943.09766
Bitcoin,2024-01-08,2024-01-02,41614.64,45841.21,44176.137,44010.043,46970.50391
Bitcoin,2024-01-09,2024-01-02,41151.13,45893.125,45107.04,43767.426,46139.73047
Bitcoin,2024-01-10,2024-01-02,40879.383,45598.16,45157.5,44219.52,46627.77734
Bitcoin,2024-01-11,2024-01-02,40740.047,45082.594,45031.07,44987.72,46368.58594
Bitcoin,2024-01-12,2024-01-02,40660.69,45487.574,46368.44,43713.523,42853.16797
Bitcoin,2024-01-13,2024-01-02,40604.95,45335.03,46525.562,44132.117,42842.38281
Bitcoin,2024-01-14,2024-01-02,40558.41,45218.7,47332.598,43927.71,41796.26953
Bitcoin,2024-01-15,2024-01-02,40523.453,45031.344,49568.78,43762.555,42511.96875
Bitcoin,2024-01-16,2024-01-02,40490.773,45886.676,51336.95,44871.24,43154.94531
Bitcoin,2024-01-17,2024-01-16,42821.82,43427.25,43124.11,42225.543,42742.65234
Bitcoin,2024-01-18,2024-01-16,42812.97,43559.395,43005.96,41693.695,41262.05859
Bitcoin,2024-01-19,2024-01-16,42796.043,43572.953,42654.445,42329.914,41618.40625
Bitcoin,2024-01-20,2024-01-16,42788.133,43432.414,42757.953,42363.105,41665.58594
Bitcoin,2024-01-21,2024-01-16,42799.438,43230.055,43419.54,41942.78,41545.78516
Bitcoin,2024-01-22,2024-01-16,42823.348,43252.133,43128.45,41697.992,39507.36719
Bitcoin,2024-01-23,2024-01-16,42847.7,43125.9,43055.523,42331.79,39845.55078
Bitcoin,2024-01-24,2024-01-16,42867.258,43370.1,43232.586,42048.297,40077.07422
Bitcoin,2024-01-25,2024-01-16,42881.87,43280.734,43390.54,41887.336,39933.80859
Bitcoin,2024-01-26,2024-01-16,42895.49,43147.367,43061.0,42212.887,41816.87109
Bitcoin,2024-01-27,2024-01-16,42907.5,43063.547,43061.406,42759.805,42120.05469
Bitcoin,2024-01-28,2024-01-16,42919.785,43357.977,42657.195,42363.242,42035.59375
Bitcoin,2024-01-29,2024-01-16,42931.113,43406.23,42793.895,42011.332,43288.24609
Bitcoin,2024-01-30,2024-01-16,42942.72,43164.84,42317.67,41009.0,42952.60938
Bitcoin,2024-01-31,2024-01-30,42227.547,44246.86,42921.61,41964.625,42582.60547
Bitcoin,2024-02-01,2024-01-30,42149.734,44307.617,43112.492,40963.875,43075.77344
Bitcoin,2024-02-02,2024-01-30,42078.06,44364.75,43139.875,41295.68,43185.85938
Bitcoin,2024-02-03,2024-01-30,42012.906,44452.914,43265.83,41268.805,42992.25
Bitcoin,2024-02-04,2024-01-30,41955.633,44418.28,43546.14,40861.92,42583.58203
Bitcoin,2024-02-05,2024-01-30,41907.098,44240.71,43728.195,40798.46,42658.66797
Bitcoin,2024-02-06,2024-01-30,41867.523,44404.492,43809.562,40656.19,43084.67188
Bitcoin,2024-02-07,2024-01-30,41836.24,44416.945,44131.953,40740.625,44318.22266
Bitcoin,2024-02-08,2024-01-30,41811.812,44448.945,44403.727,41404.46,45301.56641
Bitcoin,2024-02-09,2024-01-30,41793.008,44445.742,44512.734,41608.418,47147.19922
Bitcoin,2024-02-10,2024-01-30,41778.484,44491.453,44743.727,41339.195,47771.27734
Bitcoin,2024-02-11,2024-01-30,41767.08,45081.383,44732.82,41431.633,48293.91797
Bitcoin,2024-02-12,2024-01-30,41758.203,45244.492,44801.844,41191.344,49958.22266
Bitcoin,2024-02-13,2024-01-30,41751.082,45081.984,44968.07,40646.234,49742.44141
Bitcoin,2024-02-14,2024-02-13,50904.867,50264.027,50280.508,49167.793,51826.69531
Bitcoin,2024-02-15,2024-02-13,51674.99,50596.055,50749.56,49527.066,51938.55469
Bitcoin,2024-02-16,2024-02-13,52798.727,50530.43,50761.656,50385.977,52160.20313
Bitcoin,2024-02-17,2024-02-13,53476.91,50888.87,51228.258,49739.74,51662.99609
Bitcoin,2024-02-18,2024-02-13,53684.934,51122.79,51572.875,51414.363,52122.54688
Bitcoin,2024-02-19,2024-02-13,53738.695,51012.043,52033.84,52123.62,51779.14453
Bitcoin,2024-02-20,2024-02-13,53754.223,51327.88,52403.977,52652.594,52284.875
Bitcoin,2024-02-21,2024-02-13,53758.42,51572.535,51924.973,52907.86,51839.17969
Bitcoin,2024-02-22,2024-02-13,53757.32,51502.125,52518.832,53128.047,51304.97266
Bitcoin,2024-02-23,2024-02-13,53752.492,51655.188,52572.863,53883.547,50731.94922
Bitcoin,2024-02-24,2024-02-13,53744.96,51923.945,53340.176,55253.754,51571.10156
Bitcoin,2024-02-25,2024-02-13,53736.023,52118.863,53819.562,54391.13,51733.23828
Bitcoin,2024-02-26,2024-02-13,53726.97,52219.08,54152.625,54961.33,54522.40234
Bitcoin,2024-02-27,2024-02-13,53718.668,52523.75,54863.6,54430.23,57085.37109
Bitcoin,2024-02-28,2024-02-27,59241.715,56153.664,57894.86,52563.152,62504.78906
