unique_id,ds,cutoff,AutoBiTCN,AutoKAN,y
Bitcoin,2023-10-25,2023-10-24,32334.082,33149.723,34502.82031
Bitcoin,2023-10-26,2023-10-24,32572.36,33553.42,34156.64844
Bitcoin,2023-10-27,2023-10-24,32562.16,32986.156,33909.80078
Bitcoin,2023-10-28,2023-10-24,32757.012,33211.85,34089.57422
Bitcoin,2023-10-29,2023-10-24,32998.793,33434.242,34538.48047
Bitcoin,2023-10-30,2023-10-24,33233.48,33391.086,34502.36328
Bitcoin,2023-10-31,2023-10-24,33553.94,33178.766,34667.78125
Bitcoin,2023-11-01,2023-10-24,33526.37,33486.215,35437.25391
Bitcoin,2023-11-02,2023-10-24,33676.9,33486.754,34938.24219
Bitcoin,2023-11-03,2023-10-24,33727.156,33078.9,34732.32422
Bitcoin,2023-11-04,2023-10-24,33426.72,33175.754,35082.19531
Bitcoin,2023-11-05,2023-10-24,34161.387,33417.92,35049.35547
Bitcoin,2023-11-06,2023-10-24,33651.324,33205.223,35037.37109
Bitcoin,2023-11-07,2023-10-24,34070.98,33679.992,35443.5625
Bitcoin,2023-11-08,2023-11-07,34806.27,34539.62,35655.27734
Bitcoin,2023-11-09,2023-11-07,34735.438,34135.47,36693.125
Bitcoin,2023-11-10,2023-11-07,34547.055,34023.6,37313.96875
Bitcoin,2023-11-11,2023-11-07,34828.887,34031.945,37138.05078
Bitcoin,2023-11-12,2023-11-07,34024.777,33780.312,37054.51953
Bitcoin,2023-11-13,2023-11-07,33891.082,33827.64,36502.35547
Bitcoin,2023-11-14,2023-11-07,34269.07,33610.76,35537.64063
Bitcoin,2023-11-15,2023-11-07,34323.758,33423.93,37880.58203
Bitcoin,2023-11-16,2023-11-07,33823.91,33810.656,36154.76953
Bitcoin,2023-11-17,2023-11-07,33707.145,33541.445,36596.68359
Bitcoin,2023-11-18,2023-11-07,34045.906,33924.684,36585.70313
Bitcoin,2023-11-19,2023-11-07,34730.6,34080.203,37386.54688
Bitcoin,2023-11-20,2023-11-07,34165.383,33502.68,37476.95703
Bitcoin,2023-11-21,2023-11-07,34502.594,33776.03,35813.8125
Bitcoin,2023-11-22,2023-11-21,34637.09,35097.312,37432.33984
Bitcoin,2023-11-23,2023-11-21,35377.105,34716.707,37289.62109
Bitcoin,2023-11-24,2023-11-21,35490.535,33198.77,37720.28125
Bitcoin,2023-11-25,2023-11-21,35365.78,32484.914,37796.79297
Bitcoin,2023-11-26,2023-11-21,35329.895,31691.676,37479.12109
Bitcoin,2023-11-27,2023-11-21,35309.59,32385.074,37254.16797
Bitcoin,2023-11-28,2023-11-21,35516.332,32159.367,37831.08594
Bitcoin,2023-11-29,2023-11-21,35314.457,31622.273,37858.49219
Bitcoin,2023-11-30,2023-11-21,35200.137,31827.883,37712.74609
Bitcoin,2023-12-01,2023-11-21,35374.93,30500.832,38688.75
Bitcoin,2023-12-02,2023-11-21,35340.73,31416.605,39476.33203
Bitcoin,2023-12-03,2023-11-21,35399.48,30336.953,39978.39063
Bitcoin,2023-12-04,2023-11-21,35068.54,29712.7,41980.09766
Bitcoin,2023-12-05,2023-11-21,35750.43,30150.164,44080.64844
Bitcoin,2023-12-06,2023-12-05,39202.05,40410.715,43746.44531
Bitcoin,2023-12-07,2023-12-05,40587.16,41570.72,43292.66406
Bitcoin,2023-12-08,2023-12-05,39277.418,42236.09,44166.60156
Bitcoin,2023-12-09,2023-12-05,38810.54,40756.086,43725.98438
Bitcoin,2023-12-10,2023-12-05,40991.29,43145.17,43779.69922
Bitcoin,2023-12-11,2023-12-05,39948.867,41634.953,41243.83203
Bitcoin,2023-12-12,2023-12-05,41049.97,41844.125,41450.22266
Bitcoin,2023-12-13,2023-12-05,40568.28,41493.79,42890.74219
Bitcoin,2023-12-14,2023-12-05,39619.137,41707.56,43023.97266
Bitcoin,2023-12-15,2023-12-05,40938.51,42943.746,41929.75781
Bitcoin,2023-12-16,2023-12-05,40940.617,43007.555,42240.11719
Bitcoin,2023-12-17,2023-12-05,39951.082,44794.562,41364.66406
Bitcoin,2023-12-18,2023-12-05,40835.273,44513.277,42623.53906
Bitcoin,2023-12-19,2023-12-05,41384.805,43197.13,42270.52734
Bitcoin,2023-12-20,2023-12-19,42034.53,37306.18,43652.25
Bitcoin,2023-12-21,2023-12-19,42414.38,38458.36,43869.15234
Bitcoin,2023-12-22,2023-12-19,41151.656,38155.32,43997.90234
Bitcoin,2023-12-23,2023-12-19,41878.664,39396.6,43739.54297
Bitcoin,2023-12-24,2023-12-19,42410.727,37804.684,43016.11719
Bitcoin,2023-12-25,2023-12-19,41740.47,38548.504,43613.14063
Bitcoin,2023-12-26,2023-12-19,42527.613,37642.695,42520.40234
Bitcoin,2023-12-27,2023-12-19,42221.035,38078.43,43442.85547
Bitcoin,2023-12-28,2023-12-19,42319.766,36996.13,42627.85547
Bitcoin,2023-12-29,2023-12-19,42065.96,38272.1,42099.40234
Bitcoin,2023-12-30,2023-12-19,41454.516,36609.33,42156.90234
Bitcoin,2023-12-31,2023-12-19,43136.188,37442.914,42265.1875
Bitcoin,2024-01-01,2023-12-19,42378.125,37734.51,44167.33203
Bitcoin,2024-01-02,2023-12-19,42491.28,36132.043,44957.96875
Bitcoin,2024-01-03,2024-01-02,43938.58,43130.35,42848.17578
Bitcoin,2024-01-04,2024-01-02,44512.63,41907.746,44179.92188
Bitcoin,2024-01-05,2024-01-02,44400.47,43897.97,44162.69141
Bitcoin,2024-01-06,2024-01-02,45134.785,43325.14,43989.19531
Bitcoin,2024-01-07,2024-01-02,45523.152,43628.773,43943.09766
Bitcoin,2024-01-08,2024-01-02,44546.094,44160.574,46970.50391
Bitcoin,2024-01-09,2024-01-02,44889.977,44016.33,46139.73047
Bitcoin,2024-01-10,2024-01-02,45541.605,43607.305,46627.77734
Bitcoin,2024-01-11,2024-01-02,46357.688,43635.75,46368.58594
Bitcoin,2024-01-12,2024-01-02,45827.156,43464.043,42853.16797
Bitcoin,2024-01-13,2024-01-02,45949.117,44492.383,42842.38281
Bitcoin,2024-01-14,2024-01-02,45718.754,45535.527,41796.26953
Bitcoin,2024-01-15,2024-01-02,45715.645,44360.492,42511.96875
Bitcoin,2024-01-16,2024-01-02,46821.52,44872.88,43154.94531
Bitcoin,2024-01-17,2024-01-16,43512.188,44573.727,42742.65234
Bitcoin,2024-01-18,2024-01-16,44278.227,44761.445,41262.05859
Bitcoin,2024-01-19,2024-01-16,43577.195,45166.453,41618.40625
Bitcoin,2024-01-20,2024-01-16,45691.67,44612.92,41665.58594
