unique_id,ds,cutoff,y,AutoARIMA,AutoARIMA-lo-95,AutoARIMA-hi-95,AutoETS,AutoETS-lo-95,AutoETS-hi-95,AutoTheta,AutoTheta-lo-95,AutoTheta-hi-95
Bitcoin,2023-10-25,2023-10-24,34502.82031,34416.99548233203,31277.121789509656,37556.8691751544,33901.445779780544,32191.54398227062,35611.347577290464,33830.264740465966,32045.971550101032,35614.5579308309
Bitcoin,2023-10-26,2023-10-24,34156.64844,34186.11502496562,31036.127690639885,37336.10235929136,33901.445779780544,32087.936411846735,35714.955147714354,33838.627966453925,32062.217237769706,35615.03869513814
Bitcoin,2023-10-27,2023-10-24,33909.80078,33731.254612343095,30438.546893061764,37023.962331624425,33901.445779780544,31212.462823244285,36590.428736316804,33826.82982659377,31139.765733919154,36513.89391926838
Bitcoin,2023-10-28,2023-10-24,34089.57422,33752.903268821436,30256.485629840394,37249.32090780248,33901.445779780544,31454.15831170947,36348.73324785162,33809.59596793587,31415.808048830142,36203.3838870416
Bitcoin,2023-10-29,2023-10-24,34538.48047,33905.363551207265,30340.460394132413,37470.26670828211,33901.445779780544,30912.86156781259,36890.029991748495,33897.44557909173,30873.193326488246,36921.69783169521
Bitcoin,2023-10-30,2023-10-24,34502.36328,33628.32636955443,30781.45763222688,36475.195106881976,33901.445779780544,30879.603448994287,36923.288110566806,33808.54890333011,30813.130259815527,36803.9675468447
Bitcoin,2023-10-31,2023-10-24,34667.78125,33558.64754804602,30321.121898128542,36796.1731979635,33901.445779780544,30755.45351531259,37047.43804424849,33912.26647356057,30745.63012412572,37078.90282299543
Bitcoin,2023-11-01,2023-10-24,35437.25391,33835.57361761392,30661.013187345765,37010.13404788207,33901.445779780544,31335.594808244285,36467.296751316804,33848.66292007463,31248.2392081778,36449.08663197146
Bitcoin,2023-11-02,2023-10-24,34938.24219,33044.856081918835,29774.961574637233,36314.75058920044,33901.445779780544,30878.94848906259,36923.9430704985,33857.26339411328,30818.638919818844,36895.88786840771
Bitcoin,2023-11-03,2023-10-24,34732.32422,32650.63687559906,29055.37636603418,36245.89738516394,33901.445779780544,30926.92963714137,36875.961922419716,33845.68852858736,30880.991883516035,36810.38517365867
Bitcoin,2023-11-04,2023-10-24,35082.19531,32446.689385092788,28728.466091448157,36164.91267873742,33901.445779780544,31142.427572994286,36660.46398656681,33828.671903548675,31032.508676482525,36624.83513061482
Bitcoin,2023-11-05,2023-10-24,35049.35547,32345.858726040344,28129.120711458236,36562.59674062245,33901.445779780544,30816.576855812593,36986.314703748496,33916.79572369338,30711.69981353073,37121.89163385603
Bitcoin,2023-11-06,2023-10-24,35037.37109,32257.309200921336,28634.409202724204,35880.209199118464,33901.445779780544,30771.45033890693,37031.44122065415,33828.0696061602,30730.02440509412,36926.11480722627
