unique_id,ds,cutoff,y,AutoARIMA,AutoARIMA-lo-95,AutoARIMA-hi-95,AutoETS,AutoETS-lo-95,AutoETS-hi-95,AutoTheta,AutoTheta-lo-95,AutoTheta-hi-95
Bitcoin,2023-10-25,2023-10-24,34502.82031,38670.27290952018,27388.938128305454,49951.607690734905,33882.47030281334,32132.340159520823,35632.600446105855,33930.271204746794,32216.052113293463,35644.49029620012
Bitcoin,2023-10-26,2023-10-24,34156.64844,40827.31156396513,31960.646672916897,49693.97645501336,33893.22541109277,32112.040566197396,35674.410255988136,33854.8148888889,32083.510502379628,35626.11927539817
Bitcoin,2023-10-27,2023-10-24,33909.80078,40766.94156849416,32048.653060062854,49485.23007692547,33903.98051937219,31223.414998464963,36584.54604027942,33855.68537878268,31149.115585253105,36562.255172312245
Bitcoin,2023-10-28,2023-10-24,34089.57422,39144.45430052712,30563.680727648316,47725.22787340592,33914.73562765162,31432.668412710966,36396.802842592275,33906.560685978846,31498.24703262894,36314.87433932875
Bitcoin,2023-10-29,2023-10-24,34538.48047,35816.411087703236,26606.858029608404,45025.96414579807,33925.49073593105,30879.416801260715,36971.56467060139,33880.227444618555,30909.626939939917,36850.82794929719
Bitcoin,2023-10-30,2023-10-24,34502.36328,42108.471394329026,32513.762357606603,51703.18043105145,33936.24584421048,30950.74358533516,36921.7481030858,33965.910971993726,31017.427014488658,36914.39492949879
Bitcoin,2023-10-31,2023-10-24,34667.78125,39201.59324123371,28397.88207867506,50005.30440379237,33947.00095248991,30723.985548961522,37170.01635601829,33985.97417176313,30782.130996484942,37189.817347041324
Bitcoin,2023-11-01,2023-10-24,35437.25391,40369.23396988702,33488.9034288952,47249.56451087884,33957.75606076934,31446.860251998616,36468.65186954006,34023.038708139466,31565.60218141218,36480.475234866746
Bitcoin,2023-11-02,2023-10-24,34938.24219,39466.66914202814,32566.887712709202,46366.450571347086,33968.51116904877,30849.457322912327,37087.56501518521,33947.33995147039,30897.661765025103,36997.01813791568
Bitcoin,2023-11-03,2023-10-24,34732.32422,39351.72217043921,31682.58169348388,47020.862647394526,33979.2662773282,30932.57726598106,37025.95528867534,33948.17670920846,30917.645376884393,36978.70804153253
Bitcoin,2023-11-04,2023-10-24,35082.19531,40104.75381029765,34052.25362364807,46157.25399694722,33990.02138560762,31313.880977868805,36666.16179334644,33999.15486688679,31337.62532933178,36660.684404441796
Bitcoin,2023-11-05,2023-10-24,35049.35547,39076.03244631053,32888.08126160295,45263.983631018105,34000.77649388705,30848.841919575538,37152.71106819857,33972.713632026345,30854.152807290015,37091.27445676268
Bitcoin,2023-11-06,2023-10-24,35037.37109,36072.04504532732,29194.034286229755,42950.05580442488,34011.531602166484,30746.659394574624,37276.40380975834,34058.59491408236,30826.379784186873,37290.810043977835
Bitcoin,2023-11-07,2023-10-24,35443.5625,36497.731039251084,25950.727355286173,47044.734723215995,34022.286710445915,31105.43204396566,36939.14137692617,34078.67672375897,31182.541714874515,36974.81173264341
Bitcoin,2023-11-08,2023-11-07,35655.27734,39280.21492264714,27998.88014143241,50561.54970386186,35441.545797745035,33691.415654452525,37191.675941037545,35479.90042507109,33765.681333617766,37194.11951652442
Bitcoin,2023-11-09,2023-11-07,36693.125,38943.38560220161,30076.72071115338,47810.050493249844,35452.69201645733,33671.50717156196,37233.8768613527,35396.825439670785,33625.52105316152,37168.12982618005
Bitcoin,2023-11-10,2023-11-07,37313.96875,40960.717689009405,32242.429180578096,49679.006197440714,35463.83823516963,32783.2727142624,38144.403756076856,35395.59482280675,32689.025029277178,38102.16461633632
Bitcoin,2023-11-11,2023-11-07,37138.05078,38060.756551804865,29479.982978926062,46641.53012468366,35474.98445388192,32992.91723894126,37957.05166882258,35449.34409571699,33041.03044236708,37857.65774906689
Bitcoin,2023-11-12,2023-11-07,37054.51953,37124.61686516849,27915.06380707366,46334.169923263325,35486.13067259422,32440.056737923882,38532.20460726455,35418.44386933025,32447.843364651613,38389.04437400889
Bitcoin,2023-11-13,2023-11-07,36502.35547,35172.33344566874,25577.624408946314,44767.04248239115,35497.276891306516,32511.774632431192,38482.779150181836,35514.35117758387,32565.867220078802,38462.835135088935
Bitcoin,2023-11-14,2023-11-07,35537.64063,38112.104206342185,27308.39304378353,48915.81536890083,35508.42311001881,32285.407706490427,38731.438513547204,35535.91224572606,32332.06907044787,38739.75542100425
Bitcoin,2023-11-15,2023-11-07,37880.58203,38108.828570292186,31228.49802930037,44989.159111284,35519.56932873111,33008.673519960386,38030.46513750183,35576.15853452555,33118.72200779827,38033.59506125283
Bitcoin,2023-11-16,2023-11-07,36154.76953,37635.790897655585,30736.009468336644,44535.57232697452,35530.715547443404,32411.661701306963,38649.76939357984,35492.82095846069,32443.1427720154,38542.49914490598
Bitcoin,2023-11-17,2023-11-07,36596.68359,37736.82028884075,30067.67981188542,45405.960765796066,35541.8617661557,32495.172754808562,38588.55077750284,35491.54982873636,32461.01849641229,38522.08116106043
Bitcoin,2023-11-18,2023-11-07,36585.70313,34101.67717693165,28049.17699028207,40154.17736358122,35553.007984867996,32876.86757712918,38229.14839260681,35545.4076091267,32883.87807157168,38206.93714668171
Bitcoin,2023-11-19,2023-11-07,37386.54688,36234.29766182498,30046.346477117404,42422.24884653256,35564.15420358029,32412.219629268777,38716.088777891804,35514.38650491673,32395.8256801804,38632.94732965306
Bitcoin,2023-11-20,2023-11-07,37476.95703,39737.228662498936,32859.21790340137,46615.239421596496,35575.30042229259,32310.42821470073,38840.172629884444,35610.51639637401,32378.301266478527,38842.73152626949
Bitcoin,2023-11-21,2023-11-07,35813.8125,39024.72090539772,28477.71722143281,49571.724589362624,35586.446641004884,32669.59197452463,38503.30130748514,35632.0986398119,32735.96363092745,38528.23364869634
Bitcoin,2023-11-22,2023-11-21,37432.33984,36568.40810069679,25287.073319482064,47849.742881911516,35880.79370446731,34130.6635611748,37630.92384775982,35894.91395156224,34180.69486010891,37609.133043015565
Bitcoin,2023-11-23,2023-11-21,37289.62109,35922.78284606682,27056.117955018584,44789.44773711505,35891.7308656137,34110.546020718335,37672.91571050907,35802.24573826887,34030.941351759604,37573.55012477814
Bitcoin,2023-11-24,2023-11-21,37720.28125,38581.9990666281,29863.71055819679,47300.28757505941,35902.668026760104,33222.102505852876,38583.23354766733,35796.62452200944,33090.05472847987,38503.19431553901
Bitcoin,2023-11-25,2023-11-21,37796.79297,35306.516385508556,26725.742812629753,43887.28995838735,35913.6051879065,33431.53797296584,38395.67240284716,35843.68890946599,33435.37525611609,38252.0025628159
