unique_id,ds,cutoff,y,AutoARIMA,AutoARIMA-lo-95,AutoARIMA-hi-95,AutoETS,AutoETS-lo-95,AutoETS-hi-95,AutoTheta,AutoTheta-lo-95,AutoTheta-hi-95
Bitcoin,2022-06-16,2022-06-15,20381.65039,21172.34817624705,16008.37581468173,26336.32053781237,22553.898485607064,19043.582868660604,26064.214102553524,22470.98560566593,19030.548569509825,25911.422641822035
Bitcoin,2022-06-17,2022-06-15,20471.48242,21253.402059129414,14451.13063520622,28055.673483052607,22552.616182598475,18386.382864293133,26718.849500903816,22466.715457377974,18287.09190440266,26646.339010353287
Bitcoin,2022-06-18,2022-06-15,19017.64258,20364.37798049446,14922.58068292305,25806.17527806587,22551.359551423644,14864.68940773877,30238.02969510852,22502.533546445884,15206.63703432598,29798.430058565787
Bitcoin,2022-06-19,2022-06-15,20553.27148,23155.574156737435,17590.667354777965,28720.480958696906,22550.128078129906,15475.822551998997,29624.433604260816,22517.607727985236,16520.307014394904,28514.908441575568
Bitcoin,2022-06-20,2022-06-15,20599.53711,23324.276846930745,18811.40381986718,27837.14987399431,22548.921259053983,15236.185353055833,29861.657165052133,22493.637351377794,15285.815905050622,29701.458797704967
Bitcoin,2022-06-21,2022-06-15,20710.59766,23741.50410784161,11534.523320619603,35948.48489506362,22547.73860061598,13820.43226569122,31275.04493554074,22499.445414485042,13836.396047394572,31162.494781575515
Bitcoin,2022-06-22,2022-06-15,19987.0293,23110.185287349028,12796.89776787634,33423.472806821715,22546.57961911752,12561.837856081078,32531.321382153965,22559.333294125987,12682.616643351386,32436.049944900587
Bitcoin,2022-06-23,2022-06-15,21085.87695,25151.485716789466,14546.817608020012,35756.15382555892,22545.443840543925,11846.771510047207,33244.116171040645,22460.099653848905,11923.886926314239,32996.31238138357
Bitcoin,2022-06-24,2022-06-15,21231.65625,25591.03655568816,11723.764758907868,39458.308352468455,22544.330800370328,12329.031848828037,32759.62975191262,22455.37949708318,12499.703495332236,32411.055498834125
Bitcoin,2022-06-25,2022-06-15,21502.33789,26265.8674091172,12682.225197643755,39849.509620590645,22543.2400433717,10155.209067023345,34931.27101972005,22490.731688399374,10821.25710143817,34160.20627536058
Bitcoin,2022-06-26,2022-06-15,21027.29492,25760.405332509927,12082.527388498296,39438.28327652156,22542.171123436663,10889.659428789935,34194.68281808338,22505.35475549384,12466.210270669646,32544.499240318037
Bitcoin,2022-06-27,2022-06-15,20735.47852,25509.786561297806,14595.87701573876,36423.69610685685,22541.12360338503,12018.693731138512,33063.55347563155,22480.95953847573,12132.813569641385,32829.10550731007
Bitcoin,2022-06-28,2022-06-15,20280.63477,25294.364249231086,13663.293790617474,36925.434707844695,22540.097054789007,12671.992878463792,32408.20123111422,22486.33112738693,12744.430924928442,32228.231329845417
Bitcoin,2022-06-29,2022-06-15,20104.02344,25136.366620694815,13188.50251553041,37084.23072585922,22539.09105779797,11691.611846836222,33386.570268759715,22545.75449831746,12038.008335912553,33053.50066072237
Bitcoin,2022-06-30,2022-06-15,19784.72656,24832.71618411613,14660.427019852445,35005.00534837981,22538.10520096674,9427.001397795844,35649.209004137636,22446.15755120532,11473.477173809059,33418.837928601584
Bitcoin,2022-07-01,2022-06-15,19269.36719,24601.508396116526,14081.3976935895,35121.61909864355,22537.13908108732,9092.223400083885,35982.05476209075,22441.021995120012,10939.97029883041,33942.07369140961
Bitcoin,2022-07-02,2022-06-15,19242.25586,24742.813055524428,13538.770701581634,35946.85540946722,22536.192303023967,9236.189030797043,35836.19557525089,22475.937166494,9078.977342310427,35872.896990677575
Bitcoin,2022-07-03,2022-06-15,19297.07617,25027.978430690753,11045.487935161626,39010.46892621988,22535.2644795516,7027.305800065256,38043.22315903794,22490.14044909282,7656.699942120016,37323.580956065634
Bitcoin,2022-07-04,2022-06-15,20231.26172,27647.175178711725,16192.720626069644,39101.62973135381,22534.35523119742,7825.667140498388,37243.04332189645,22465.35646583807,8475.062361940167,36455.650569735975
Bitcoin,2022-07-05,2022-06-15,20190.11523,27657.70496246083,15208.530861612504,40106.879063309156,22533.464186085723,8164.949317504332,36901.979054667114,22470.32338291393,10207.982372457165,34732.664393370695
Bitcoin,2022-07-06,2022-06-15,20548.24609,28809.052047557358,15780.463868941804,41837.64022617291,22532.590979785775,6817.962597650932,38247.219361920615,22529.306819110774,9902.378544893741,35156.23509332781
Bitcoin,2022-07-07,2022-06-15,21637.58789,31751.864853909276,17991.12427734147,45512.60543047708,22531.735255162792,6864.026081273163,38199.44442905242,22429.390956106192,8790.717198064307,36068.06471414807
Bitcoin,2022-07-08,2022-06-15,21731.11719,31921.754070349925,17957.48207108138,45886.02606961847,22530.896662231866,7017.131421532833,38044.6619029309,22423.872001417716,7835.33306274436,37012.410940091075
Bitcoin,2022-07-09,2022-06-15,21592.20703,31951.14336429665,17302.04198296933,46600.24474562397,22530.074858014817,4588.099711801473,40472.050004228164,22458.376859656324,8201.461509076064,36715.292210236585
