unique_id,ds,y,XGBoost,XGBoost-lo-95,XGBoost-hi-95,CatBoost,CatBoost-lo-95,CatBoost-hi-95,LightGBM,LightGBM-lo-95,LightGBM-hi-95
Bitcoin,2017-02-08,1063.0699462890625,1073.998,543.3974,1604.5986,1127.9502469992879,407.6038585748505,1848.296635423725,1072.5879502452583,-817.0025805410824,2962.178481031599
Bitcoin,2017-02-09,994.3829956054688,1054.4907,523.8901,1585.0913,1029.3411877558676,308.9947993314303,1749.6875761803049,1008.3853018833661,-881.2052289029746,2897.9758326697065
Bitcoin,2017-02-10,988.6740112304688,1037.8688,507.26816,1568.4694,983.6806665108634,263.334278086426,1704.0270549353008,989.652757568097,-899.9377732182437,2879.2432883544375
Bitcoin,2017-02-11,1004.4500122070312,1031.8391,501.2385,1562.4397,1009.6401889206176,289.2938004961802,1729.986577345055,996.9885057410464,-892.6020250452942,2886.579036527387
Bitcoin,2017-02-12,999.1810302734376,1021.1261,490.52548,1551.7267,986.3905830874654,266.04419466302807,1706.7369715119028,998.5562539755227,-891.0342768108179,2888.1467847618633
Bitcoin,2017-02-13,990.6420288085938,1012.7505,482.14987,1543.3511,991.7090108992817,271.36262247484433,1712.055399323719,987.7239273035608,-901.8666034827799,2877.3144580899016
Bitcoin,2017-02-14,1004.5499877929688,1039.2395,508.6389,1569.8401,1029.5037019808085,309.15731355637115,1749.8500904052457,1003.6421750851806,-885.94835570116,2893.2327058715214
Bitcoin,2017-02-15,1007.47998,1032.2043,501.60373,1562.8049,1018.2298115109575,297.8834230865201,1738.576199935395,1014.6910398205181,-874.8994909658226,2904.2815706068586
Bitcoin,2017-02-16,1027.439941,1042.0377,511.4371,1572.6383,998.3009013865344,277.95451296209706,1718.6472898109719,1022.3549736867485,-867.2355570995921,2911.9455044730894
Bitcoin,2017-02-17,1046.209961,1042.5935,511.9929,1573.1941,1075.2787981026604,354.93240967822305,1795.6251865270979,1055.3852498983063,-834.2052808880344,2944.975780684647
Bitcoin,2017-02-18,1054.4200439453125,1050.66,520.0594,1581.2606,1104.7643853508314,384.41799692639404,1825.1107737752686,1058.7345726692254,-830.8559581171153,2948.325103455566
Bitcoin,2017-02-19,1047.8699951171875,1047.2072,516.6065,1577.8077,1069.3816690291937,349.0352806047564,1789.7280574536312,1058.8186078702593,-830.7719229160814,2948.4091386565997
Bitcoin,2017-02-20,1079.97998,1063.6232,533.0225,1594.2238,1108.5156680656703,388.16927964123295,1828.8620564901075,1073.1953538081534,-816.3951769781872,2962.785884594494
Bitcoin,2017-02-21,1115.300048828125,1120.1418,589.5412,1650.7424,1155.8564749152376,435.5100864908003,1876.2028633396749,1132.1864297971445,-757.4041009891962,3021.776960583485
Bitcoin,2017-02-22,1117.439941,1112.224,581.62335,1642.8246,1163.4483669710792,443.1019785466418,1883.7947553955164,1134.974136583213,-754.6163942031276,3024.5646673695537
Bitcoin,2017-02-23,1166.719970703125,1166.653,636.0523,1697.2535,1155.7032658653452,435.35687744090785,1876.0496542897827,1154.2284924661099,-735.3620383202308,3043.8190232524503
Bitcoin,2017-02-24,1173.6800537109375,1216.644,686.0434,1747.2446,1203.334155987736,482.9877675632987,1923.6805444121733,1173.045780922447,-716.5447498638937,3062.6363117087876
Bitcoin,2017-02-25,1143.8399658203125,1171.0128,640.4122,1701.6134,1204.944828121768,484.5984396973307,1925.2912165462053,1177.5631339654003,-712.0273968209403,3067.153664751741
Bitcoin,2017-02-26,1165.199951171875,1181.0693,650.4687,1711.6699,1184.2966828601056,463.9502944356683,1904.643071284543,1174.489149872541,-715.1013809137996,3064.0796806588814
Bitcoin,2017-02-27,1179.969970703125,1163.1444,632.54376,1693.745,1204.7081271543452,484.36173872990787,1925.0545155787827,1180.020773436924,-709.5697573494167,3069.6113042232646
Bitcoin,2017-02-28,1179.969970703125,1174.3333,643.7326,1704.9338,1236.3996441386066,516.0532557141693,1956.746032563044,1201.7174438676946,-687.8730869186461,3091.307974654035
Bitcoin,2017-03-01,1222.5,1180.2285,649.62787,1710.8291,1200.5339859390467,480.18759751460937,1920.880374363484,1216.9573239702115,-672.6332068161291,3106.547854756552
Bitcoin,2017-03-02,1251.010009765625,1253.9044,723.3038,1784.505,1263.9683184895384,543.6219300651011,1984.314706913976,1253.850277762337,-635.7402530240036,3143.4408085486775
Bitcoin,2017-03-03,1274.989990234375,1258.1593,727.55865,1788.7599,1270.9309249164387,550.5845364920013,1991.277313340876,1277.479842765454,-612.1106880208868,3167.0703735517945
Bitcoin,2017-03-04,1255.1500244140625,1252.8059,722.20526,1783.4065,1284.750545678662,564.4041572542247,2005.0969341030996,1255.6577525062514,-633.9327782800892,3145.248283292592
Bitcoin,2017-03-05,1267.1199951171875,1276.3153,745.71466,1806.9159,1275.3697150944565,555.0233266700192,1995.7161035188938,1256.9393142650017,-632.6512165213389,3146.5298450513424
Bitcoin,2017-03-06,1272.8299560546875,1267.4688,736.8681,1798.0693,1308.033536304897,587.6871478804597,2028.3799247293346,1279.0971479018688,-610.4933828844719,3168.6876786882094
Bitcoin,2017-03-07,1223.540039,1283.1506,752.55,1813.7512,1259.6350780216433,539.2886895972059,1979.9814664460805,1231.2981955967007,-658.29233518964,3120.888726383041
Bitcoin,2017-03-08,1150.0,1201.6586,671.0579,1732.2592,1136.9468593591466,416.6004709347093,1857.2932477835839,1149.7383000107898,-739.8522307755509,3039.3288307971306
Bitcoin,2017-03-09,1188.489990234375,1188.995,658.39435,1719.5956,1148.4330047792996,428.08661635486226,1868.779393203737,1212.145734045766,-677.4447967405747,3101.736264832107
Bitcoin,2017-03-10,1116.719970703125,1042.1869,511.58627,1572.7875,1045.8077343747607,325.46134595032333,1766.154122799198,1116.0708594748812,-773.5196713114594,3005.6613902612216
Bitcoin,2017-03-11,1175.8299560546875,1195.9491,665.34845,1726.5497,1075.203600104896,354.8572116804586,1795.5499885293334,1163.1685282845424,-726.4220025017983,3052.7590590708833
