model_name,training_time,status,error,mae,rmse,mape,smape
AutoARIMA,471.81827878952026,success,,3017.610443633038,4382.065661762312,8.229145034249836,8.405755316089877
AutoETS,471.81827878952026,success,,3458.4387106714303,5673.37057855198,8.23098215597403,8.548419753942724
AutoTheta,471.81827878952026,success,,3381.7772728588943,5458.087979172398,8.16808706432062,8.54429471338101
AutoCatBoost,662.5336855252584,success,,263.5120399290797,367.46603375178756,1.678744759098021,1.6814711450874753
AutoLightGBM,662.5336855252584,success,,458.87135200988075,963.9556771731646,1.7258719816331785,1.7263211291809237
AutoXGBoost,662.5336855252584,success,,154.29772422411395,271.0401431267114,0.9113171757488838,0.9097531770862748
AutoNBEATSx,6969.879881799221,success,,5288.923423905382,8306.203551552973,15.396033861386066,15.540858260018497
AutoTFT,6969.879881799221,success,,6115.126105203646,10815.931080224382,15.195481586148201,17.20785942524083
AutoTSMixerx,6969.879881799221,success,,4829.115531563889,7115.953996394194,11.886820927377165,11.917670474788187
AutoiTransformer,6969.879881799221,success,,4229.115670781945,6067.110033332727,10.67100391848172,10.750977623314876
AutoBiTCN,5483.653777122498,success,,5733.844541994444,8222.097797451828,15.048755957586248,14.522447620648423
AutoKAN,5483.653777122498,success,,4796.27981771875,6672.683713431845,14.330532574661033,13.978893017281777
