unique_id,ds,cutoff,y,TFT,SARIMAX,ETS,Theta,TSMixerx,iTransformer,TCN
Bitcoin,2024-05-29,2024-05-28,67578.09375000001,67719.36595307663,66694.86054978016,68402.51300657798,68436.81048764697,68832.14400666207,68809.3314011693,67674.55489646271
Bitcoin,2024-05-30,2024-05-28,68364.99218999999,67154.87201951444,67499.90959258456,68508.97269645796,68577.69164156113,68972.91129751503,69390.7760287486,67232.02128776908
Bitcoin,2024-05-31,2024-05-28,67491.41406,66602.5171276331,66024.52175450548,68615.59807711552,68718.86280752273,69558.14988446608,69197.52834710106,66596.32548363693
Bitcoin,2024-06-01,2024-05-28,67706.9375,66062.47632062249,66558.99188130038,68722.389406427,68860.3245825384,70270.14416553453,68947.92489985004,66382.60589031503
Bitcoin,2024-06-02,2024-05-28,67751.60155999997,65535.29915268347,66402.15010850181,68829.34694267008,69002.07756484377,71136.4614077434,68869.33457835764,66107.34843881428
Bitcoin,2024-06-03,2024-05-28,68804.78124999999,65021.718362750486,66776.66559352592,68936.47094452441,69144.12235390602,71702.58365004882,69721.55066685006,66046.25022399612
Bitcoin,2024-06-04,2024-05-28,70567.7656299999,64522.53182210773,69792.2917229669,69043.76167107224,69286.45955042628,72792.88290143386,69823.41766182706,66180.07277805917
Bitcoin,2024-06-05,2024-06-04,71082.82031000001,70565.27557937104,74058.5515106683,70678.25368160038,70883.61097053032,71011.71810261019,70374.21466759777,69924.71005507166
Bitcoin,2024-06-06,2024-06-04,70757.16406000004,70572.37558859684,73888.989199748,70788.91472450123,71200.86996328903,71488.07488272965,70335.4422238516,69358.62312281106
Bitcoin,2024-06-07,2024-06-04,69342.58594000005,70588.88899868011,69617.87278784894,70899.74902955526,71519.54893546342,72192.13669806745,70463.784985408,70407.89764975435
Bitcoin,2024-06-08,2024-06-04,69305.77344,70613.07445664718,68526.68925597437,71010.75686803927,71839.6542425598,72577.50568223148,70869.20476576839,70300.70770004428
Bitcoin,2024-06-09,2024-06-04,69647.99219000002,70643.36726852176,69360.75982417598,71121.9385116548,72161.19226853036,72828.80731209248,71210.15663060507,70540.26571274978
Bitcoin,2024-06-10,2024-06-04,69512.28125000007,70678.53923365579,69646.90992276113,71233.29423252879,72484.16942590034,73301.70662326431,72026.77546423832,71422.38297272447
Bitcoin,2024-06-11,2024-06-04,67332.03125000004,70717.69864472943,67527.68697662592,71344.82430321426,72808.59215589604,73580.41563471025,71996.65089902785,71884.84257838773
Bitcoin,2024-06-12,2024-06-11,68241.18749999994,67419.26437802613,67537.12841637345,67435.90661304526,67192.41693775431,67257.29153049178,67524.32459266856,67090.74753220193
