model_name,training_time,evaluation_method,status,mae,rmse,mape,smape
AutoARIMA,1123.5675066,direct_forecast,success,3666.464307806744,3909.332878116404,3.896848227164568,3.8120175693415392
AutoETS,240.7644657,direct_forecast,success,3957.094304417684,4290.55278704476,4.210235428665303,4.108819590763046
AutoTheta,240.7644657,direct_forecast,success,3858.421976963312,4215.684711778158,4.106963842957807,4.008713029504792
AutoCatBoost,164.151282692,direct_forecast,success,2701.9595284556685,2918.7863212861025,2.868616198452709,2.8214719185695505
AutoLightGBM,102.5945516825,direct_forecast,success,3896.38373820937,4159.0225894070345,4.141136633599825,4.046391259510177
AutoXGBoost,143.6323723555,direct_forecast,success,3341.205354285715,3588.204034714487,3.549369789414588,3.481497872732588
NBEATSx,2475.24345208,direct_forecast,success,5704.805498363436,6513.509210273179,6.080671729979877,5.8484249929994725
TFT,12376.2174604,direct_forecast,success,2802.419514052194,2979.999669011586,2.9772539156899693,2.92916984338226
TSMixerx,1547.02715755,direct_forecast,success,2039.00022567771,2378.6764679967214,2.144828047759729,2.1346487150401843
iTransformer,7735.13578775,direct_forecast,success,3945.89042360298,4250.727074182073,4.195975854125035,4.097357330576799
BiTCN,2165.83782057,direct_forecast,success,2763.3807928334886,2984.005189669878,2.9286534160215862,2.888559245483346
KAN,4641.08147265,direct_forecast,success,5902.598316102844,6551.584056455992,6.275257708941891,6.053318173269377
