unique_id,ds,cutoff,TCN,y
Bitcoin,2022-06-16,2022-06-15,22497.284968795204,20381.65039000002
Bitcoin,2022-06-17,2022-06-15,22383.063322115755,20471.48241999999
Bitcoin,2022-06-18,2022-06-15,22301.577724501123,19017.64258
Bitcoin,2022-06-19,2022-06-15,22149.943258112442,20553.27147999999
Bitcoin,2022-06-20,2022-06-15,21987.452387140962,20599.53711000001
Bitcoin,2022-06-21,2022-06-15,21856.61448112361,20710.59765999999
Bitcoin,2022-06-22,2022-06-15,21699.84713786253,19987.029300000006
Bitcoin,2022-06-23,2022-06-15,21603.59526929782,21085.876949999998
Bitcoin,2022-06-24,2022-06-15,21476.55152128313,21231.656249999996
Bitcoin,2022-06-25,2022-06-15,21324.268549874134,21502.337890000006
Bitcoin,2022-06-26,2022-06-15,21185.431966790886,21027.294920000026
Bitcoin,2022-06-27,2022-06-15,21045.2203377932,20735.478519999993
Bitcoin,2022-06-28,2022-06-15,20842.413174428177,20280.634770000015
Bitcoin,2022-06-29,2022-06-15,20715.77575113576,20104.023440000004
Bitcoin,2022-06-30,2022-06-15,20597.72227396284,19784.726559999992
Bitcoin,2022-07-01,2022-06-15,20526.83744617196,19269.367189999997
Bitcoin,2022-07-02,2022-06-15,20412.89699772746,19242.255859999994
Bitcoin,2022-07-03,2022-06-15,20314.46281558817,19297.076170000004
Bitcoin,2022-07-04,2022-06-15,20246.62407776822,20231.261720000006
Bitcoin,2022-07-05,2022-06-15,20025.958808314783,20190.115229999996
Bitcoin,2022-07-06,2022-06-15,19949.086745377856,20548.246090000022
Bitcoin,2022-07-07,2022-06-15,19873.608564600774,21637.587890000013
Bitcoin,2022-07-08,2022-06-15,19745.38755124838,21731.117189999994
Bitcoin,2022-07-09,2022-06-15,19682.762417066842,21592.20703000001
Bitcoin,2022-07-10,2022-06-15,19505.929090666858,20860.449220000002
Bitcoin,2022-07-11,2022-06-15,19434.976990570965,19970.55663999999
Bitcoin,2022-07-12,2022-06-15,19330.936334531994,19323.91406000002
Bitcoin,2022-07-13,2022-06-15,19190.991103862154,20212.074219999988
Bitcoin,2022-07-14,2022-06-15,19089.037234724645,20569.91992
Bitcoin,2022-07-15,2022-06-15,18968.99249732338,20836.328130000013
Bitcoin,2022-07-16,2022-07-15,20806.26195765656,21190.31640999998
Bitcoin,2022-07-17,2022-07-15,20726.263509751625,20779.343749999993
Bitcoin,2022-07-18,2022-07-15,20617.227217426764,22485.68945000001
Bitcoin,2022-07-19,2022-07-15,20591.881666384383,23389.43359000001
Bitcoin,2022-07-20,2022-07-15,20561.41931456316,23231.73242
Bitcoin,2022-07-21,2022-07-15,20472.824144573,23164.62891000001
Bitcoin,2022-07-22,2022-07-15,20388.158478870275,22714.978520000004
Bitcoin,2022-07-23,2022-07-15,20327.960311260747,22465.47852000001
Bitcoin,2022-07-24,2022-07-15,20284.795377311857,22609.16406000001
Bitcoin,2022-07-25,2022-07-15,20229.345153726,21361.701169999982
Bitcoin,2022-07-26,2022-07-15,20194.87132944952,21239.753909999978
Bitcoin,2022-07-27,2022-07-15,20172.349954370995,22930.548830000007
Bitcoin,2022-07-28,2022-07-15,20143.451207447968,23843.886719999988
Bitcoin,2022-07-29,2022-07-15,20094.457839990555,23804.632809999996
Bitcoin,2022-07-30,2022-07-15,20022.025302363465,23656.207029999987
Bitcoin,2022-07-31,2022-07-15,19968.55225034069,23336.89647999999
Bitcoin,2022-08-01,2022-07-15,19923.478451635227,23314.199219999977
Bitcoin,2022-08-02,2022-07-15,19895.989308810254,22978.117189999994
