unique_id,ds,cutoff,TCN,y
Bitcoin,2022-06-16,2022-06-15,-0.0027599747,-0.10211240119463838
Bitcoin,2022-06-17,2022-06-15,-0.0033737381,0.004397810821634707
Bitcoin,2022-06-18,2022-06-15,-0.005212455,-0.07366571103470498
Bitcoin,2022-06-19,2022-06-15,-0.0055772886,0.07765301921261525
Bitcoin,2022-06-20,2022-06-15,-0.0009582385,0.002248480775779882
Bitcoin,2022-06-21,2022-06-15,-0.006319343,0.005376928358822752
Bitcoin,2022-06-22,2022-06-15,-0.007393074,-0.03556200534934639
Bitcoin,2022-06-23,2022-06-15,-0.007344473,0.0535199493479972
Bitcoin,2022-06-24,2022-06-15,-0.0003195072,0.006889809761965182
Bitcoin,2022-06-25,2022-06-15,-0.003738614,0.012668381017558517
Bitcoin,2022-06-26,2022-06-15,-0.001915707,-0.022340316427399642
Bitcoin,2022-06-27,2022-06-15,-0.0005654243,-0.013975180544637311
Bitcoin,2022-06-28,2022-06-15,0.001005709,-0.022179692790686545
Bitcoin,2022-06-29,2022-06-15,0.0001806484,-0.008746512351258673
Bitcoin,2022-06-30,2022-06-15,-0.0054197786,-0.01600971200699597
Bitcoin,2022-07-01,2022-06-15,0.0006371486,-0.02639361141186214
Bitcoin,2022-07-02,2022-06-15,-0.004471441,-0.0014079559536330777
Bitcoin,2022-07-03,2022-06-15,-0.00547209,0.0028449038468671972
Bitcoin,2022-07-04,2022-06-15,9.543728e-05,0.04727542734195822
Bitcoin,2022-07-05,2022-06-15,-0.0072554583,-0.002035878404781144
Bitcoin,2022-07-06,2022-06-15,-0.0027738262,0.017582449292078195
Bitcoin,2022-07-07,2022-06-15,-0.0050118556,0.051656393542229395
Bitcoin,2022-07-08,2022-06-15,-0.0004373337,0.004313222856350052
Bitcoin,2022-07-09,2022-06-15,-0.0063941935,-0.006412741336777827
Bitcoin,2022-07-10,2022-06-15,-0.003466252,-0.03447747960721337
Bitcoin,2022-07-11,2022-06-15,-0.005211426,-0.043595963485985934
Bitcoin,2022-07-12,2022-06-15,-0.0025431176,-0.03291562148709559
Bitcoin,2022-07-13,2022-06-15,-0.006321732,0.044936760136037535
Bitcoin,2022-07-14,2022-06-15,-0.005278351,0.017549651110245534
Bitcoin,2022-07-15,2022-06-15,-0.0020741539,0.012868197374011459
Bitcoin,2022-07-16,2022-07-15,0.016662452,0.01684629622897127
Bitcoin,2022-07-17,2022-07-15,0.0182124,-0.019584899886714524
Bitcoin,2022-07-18,2022-07-15,0.00549007,0.07891967809115208
Bitcoin,2022-07-19,2022-07-15,0.008436756,0.0394052819820665
Bitcoin,2022-07-20,2022-07-15,-0.0030697952,-0.006765243556749567
Bitcoin,2022-07-21,2022-07-15,-0.009345843,-0.0028926215274545086
Bitcoin,2022-07-22,2022-07-15,0.0003576437,-0.01960194573416274
Bitcoin,2022-07-23,2022-07-15,0.0039923843,-0.011044710595049523
Bitcoin,2022-07-24,2022-07-15,0.004970138,0.006375470484940138
Bitcoin,2022-07-25,2022-07-15,0.011255274,-0.05675565975923291
Bitcoin,2022-07-26,2022-07-15,0.0068250475,-0.0057250435625118
Bitcoin,2022-07-27,2022-07-15,-0.0012519055,0.07659542145457543
Bitcoin,2022-07-28,2022-07-15,0.0049003772,0.03905783086266901
Bitcoin,2022-07-29,2022-07-15,0.0005651703,-0.0016476448488855766
Bitcoin,2022-07-30,2022-07-15,-0.007064364,-0.00625468341400115
Bitcoin,2022-07-31,2022-07-15,0.0042750863,-0.013589886194237621
Bitcoin,2022-08-01,2022-07-15,-0.007296209,-0.0009730644672050204
Bitcoin,2022-08-02,2022-07-15,-0.0073735993,-0.014520247027428823
Bitcoin,2022-08-03,2022-07-15,-7.001124e-05,-0.00574406192576582
Bitcoin,2022-08-04,2022-07-15,-0.004136879,-0.009479525514329623
Bitcoin,2022-08-05,2022-07-15,-0.012310852,0.028675899009213524
Bitcoin,2022-08-06,2022-07-15,0.0035873665,-0.014185359542775444
Bitcoin,2022-08-07,2022-07-15,-0.017372478,0.0093032528096888
Bitcoin,2022-08-08,2022-07-15,-0.012228237,0.026971545207587155
Bitcoin,2022-08-09,2022-07-15,-0.009701377,-0.027470993548144307
Bitcoin,2022-08-10,2022-07-15,-0.0026118178,0.033256795105195636
Bitcoin,2022-08-11,2022-07-15,-0.008597066,0.0004127621195113562
Bitcoin,2022-08-12,2022-07-15,0.0019196278,0.018415981952072613
Bitcoin,2022-08-13,2022-07-15,-0.0039494555,0.0008704221288358127
Bitcoin,2022-08-14,2022-07-15,-0.0077489875,-0.004297383282819922
Bitcoin,2022-08-15,2022-08-14,-0.0021125916,-0.007526870849192235
Bitcoin,2022-08-16,2022-08-14,-0.0024026777,-0.010565706246316253
Bitcoin,2022-08-17,2022-08-14,-0.0037335036,-0.023181944933135412
Bitcoin,2022-08-18,2022-08-14,-0.003270375,-0.005295957218541147
Bitcoin,2022-08-19,2022-08-14,-0.0020967107,-0.1060266420573921
Bitcoin,2022-08-20,2022-08-14,-1.2267614e-05,0.013724431659859704
Bitcoin,2022-08-21,2022-08-14,-0.002394456,0.017239723190771272
Bitcoin,2022-08-22,2022-08-14,-0.0040268465,-0.006298802543515336
Bitcoin,2022-08-23,2022-08-14,-0.0058235116,0.006018593971665709
Bitcoin,2022-08-24,2022-08-14,-0.0034371987,-0.006200333307921468
Bitcoin,2022-08-25,2022-08-14,-0.0024332358,0.009577016856050946
Bitcoin,2022-08-26,2022-08-14,-0.0033101444,-0.06408571676603181
Bitcoin,2022-08-27,2022-08-14,-0.0024073794,-0.010832449814598633
Bitcoin,2022-08-28,2022-08-14,-0.00089535373,-0.02142993440418728
Bitcoin,2022-08-29,2022-08-14,-0.002488447,0.03413499175849388
Bitcoin,2022-08-30,2022-08-14,-0.002692136,-0.025001327942201
Bitcoin,2022-08-31,2022-08-14,3.351993e-05,0.012696624264702194
Bitcoin,2022-09-01,2022-08-14,-0.0027142214,0.0038518177054722713
Bitcoin,2022-09-02,2022-08-14,-0.003608963,-0.007849480158661493
Bitcoin,2022-09-03,2022-08-14,-0.004529121,-0.006918477747930751
Bitcoin,2022-09-04,2022-08-14,0.00028052938,0.0077664708225135826
Bitcoin,2022-09-05,2022-08-14,-0.0045100977,-0.008761152154177054
Bitcoin,2022-09-06,2022-08-14,-0.0013568902,-0.050448064416727334
Bitcoin,2022-09-07,2022-08-14,-0.00010858942,0.02374515374757813
Bitcoin,2022-09-08,2022-08-14,-0.0009480198,0.0020460700124029785
Bitcoin,2022-09-09,2022-08-14,-0.00046679773,0.10086009771883653
Bitcoin,2022-09-10,2022-08-14,-0.0026487052,0.0139052384734768
Bitcoin,2022-09-11,2022-08-14,-0.0025932072,0.0040836521070666265
Bitcoin,2022-09-12,2022-08-14,-0.0045151813,0.027242163898831606
Bitcoin,2022-09-13,2022-08-14,-0.0023313337,-0.09728219904088853
Bitcoin,2022-09-14,2022-09-13,-0.0010842578,-0.0027439687990540307
Bitcoin,2022-09-15,2022-09-13,-0.00456802,-0.027034585929099464
Bitcoin,2022-09-16,2022-09-13,-0.0060860477,0.0036162278252707125
Bitcoin,2022-09-17,2022-09-13,-0.0032626314,0.01779449284384782
Bitcoin,2022-09-18,2022-09-13,-0.0023955742,-0.03581280592216096
Bitcoin,2022-09-19,2022-09-13,-0.004168289,0.006396912182601966
Bitcoin,2022-09-20,2022-09-13,0.0005462889,-0.03400047787130056
Bitcoin,2022-09-21,2022-09-13,-0.0026591804,-0.01834481341658112
Bitcoin,2022-09-22,2022-09-13,0.0034864987,0.045641677518439394
Bitcoin,2022-09-23,2022-09-13,-0.004284544,-0.005988576329485795
Bitcoin,2022-09-24,2022-09-13,0.0008425502,-0.018864440546158434
Bitcoin,2022-09-25,2022-09-13,-0.0069742184,-0.007149857903650414
Bitcoin,2022-09-26,2022-09-13,-0.006277132,0.022121968217957644
Bitcoin,2022-09-27,2022-09-13,-0.0060396083,-0.005850034168641827
Bitcoin,2022-09-28,2022-09-13,-0.008711038,0.016409098734692762
Bitcoin,2022-09-29,2022-09-13,-0.0039301068,0.007504185852090117
Bitcoin,2022-09-30,2022-09-13,-0.008436347,-0.007243323556544112
